RecordID,Name,NameAlphabetized,OperationalStatus,OrganizationType,Description,URL,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,OpenDatasetsURL,FoundingYear,PrincipalOfficerName,PrincipalOfficerTitle,PrincipalOfficerContactURL,Notes,InstanceOf,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - NYC Open Data Portal,Name - ODA,Name - CPO,Name - WeGov,Name - Greenbook,Name - Checkbook,Name - HOO,Name - Ops,NYC.gov Agency Directory,Jan 2025 Org Chart
NYC_GOID_000010,Age Friendly Commission,Age Friendly Commission,Active,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,Age Friendly Commission,FALSE,FALSE
NYC_GOID_000011,Algorithm Advisory Committee,Algorithm Advisory Committee,Dissolved,Advisory or Regulatory Organization,,https://www1.nyc.gov/site/ampo/committees/advisory-committee.page,,,,,,,,,,,,,,,,,,,,,Algorithm Advisory Committee,FALSE,FALSE
NYC_GOID_000012,Animal Care Centers of NYC,Animal Care Centers of NYC,Active,Nonprofit Organization,,https://www.nycacc.org/about,,,,,,,,,,,,,,,,,,,,,Animal Care Centers of NYC,FALSE,FALSE
NYC_GOID_000014,"Archives, Reference and Research Advisory Board ","Archives, Reference and Research Advisory Board ",Active,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,"Archives, Reference and Research Advisory Board ",FALSE,FALSE
NYC_GOID_000015,Association for a Better New York,Association for a Better New York,Active,Nonprofit Organization,,https://abny.org/,,ABNY,,,,1971,,,,,,,,,Association for a Better New York (ABNY),,,,,,,FALSE,FALSE
NYC_GOID_000016,Atlantic Yards Community Development Corporation,Atlantic Yards Community Development Corporation,Active,Public Benefit or Development Organization,,,,,,,,,,,,,,,,,,,,,,,Atlantic Yards Community Development Corporation (AYCDC),FALSE,FALSE
NYC_GOID_000017,Audit Committee,Audit Committee,Active,Advisory or Regulatory Organization,,https://nycauditcommittee.org/,,AUDIT,,,,1979,,,,,,,,,,,,,,,Audit Committee,TRUE,FALSE
NYC_GOID_000018,Banking Commission,Banking Commission,Active,Advisory or Regulatory Organization,,https://www.nyc.gov/site/finance/about/banking-commission.page,,,,,,,,,,,,,,,,,,,,,Banking Commission,TRUE,FALSE
NYC_GOID_000019,Black Car and Livery Task Force,"Black Car and Livery, Task Force",Active,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,Black Car and Livery Task Force,FALSE,FALSE
NYC_GOID_000021,Board of Correction,"Correction, Board of",Active,Advisory or Regulatory Organization,"The NYC Board of Correction establishes and ensures compliance with minimum standards regulating conditions of confinement and correctional health and mental health care in all City correctional facilities. The Board monitors conditions in the City's jails, investigates serious incidents, evaluates the performance of the Department of Correction, reviews inmate and employee grievances, and makes recommendations in critical areas of correctional planning.",https://www.nyc.gov/site/boc/index.page,,BOC,,73,,1957,Jasmine Georges-Yilla,Interim Executive Director,https://www.nyc.gov/site/boc/about/contact-the-executive-director.page,,,"Correction, Board of (BOC)","Correction, Board of (BOC)",,Board of Correction (BOC),Board of Correction,Board of Correction,"Correction, Board of",Board of Correction,"Correction, Board of (BOC)",Board of Correction,TRUE,TRUE
NYC_GOID_000022,Board of Education Retirement System,"Education Retirement System, Board of",Active,Advisory or Regulatory Organization,"The New York City Board of Education Retirement System (BERS) was founded on August 31, 1921, and is one of the five public pension funds of New York City. The benefits that BERS provides include service retirement benefits, disability retirement benefits, death benefits, and a Tax-Deferred Annuity (TDA) program. BERS is one of the largest multi-employer, multi-tiered retirement systems in the United States. Our members are employed in such agencies as the Department of Education, the School Construction Authority, and the Police Department.",https://www.bers.nyc.gov/,,BERS,,,,1921,Sanford Rich,Executive Director,https://www.bers.nyc.gov/site/bers/about/email-bers.page,,,Board of Education Retirement System (BERS),Board of Education Retirement System (BERS),,Board of Education Retirement System (BERS),Board of Education Retirement System,Board of Education Retirement System,"Education Retirement System, Board of",,Board of Education Retirement System (BERS),,TRUE,FALSE
NYC_GOID_000023,Board of Elections,"Elections, Board of",Active,Advisory or Regulatory Organization,"The Board of Elections is an administrative body of 10 bipartisan Commissioners, two from each borough, appointed by the City Council for a term of four years. The Board oversees voter, poll site, and campaign-related issues",https://vote.nyc/,,BOE,,3,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Board+of+Elections+%28BOENY%29,1974,Simon Shamoun,President,https://vote.nyc/page/contact-us,,,"Elections, Board of (BOE)","Elections, Board of (BOE)",Board of Elections (BOENY),Board of Elections (BOE),,Board of Elections,"Elections, Board of",Board of Elections,"Elections, Board of (BOE)",Board of Elections,TRUE,FALSE
NYC_GOID_000024,Board of Health,"Health, Board of",Active,Advisory or Regulatory Organization,,https://www1.nyc.gov/site/doh/about/about-doh/board-of-health.page,,,,,,1805,,,,,,,,,,,,,,,Board of Health,TRUE,FALSE
NYC_GOID_000025,Board of Standards and Appeals,Board of Standards and Appeals,Active,Advisory or Regulatory Organization,The Board of Standards and Appeals hears and decides appeals from property owners whose various building and renovation applications have been denied as contrary to law by the enforcement agencies.,https://www.nyc.gov/site/bsa/index.page,,BSA,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Board+of+Standards+and+Appeals+%28BSA%29&category=City+Government,1916,Shampa Chanda,Chair,https://www.nyc.gov/site/bsa/contact-bsa/send-a-message-to-chair.page,,,"Standards and Appeals, Board of (BSA)","Standards and Appeals, Board of (BSA)",Board of Standards and Appeals (BSA),Board of Standards and Appeals (BSA),Board of Standards and Appeals,Board of Standards And Appeals,"Standards And Appeals, Board of",,"Standards and Appeals, Board of (BSA)",Board of Standards and Appeals,TRUE,FALSE
NYC_GOID_000026,Office of the Borough President of The Bronx,Borough President - Bronx,Active,Elected Office,,https://bronxboropres.nyc.gov/,,,,,,1898,,,https://bronxboropres.nyc.gov/contact/,,,,,,,,,,,Borough President- Bronx,Boro President Bronx,TRUE,TRUE
NYC_GOID_000027,Office of the Borough President of Brooklyn,Borough President - Brooklyn,Active,Elected Office,,https://www.brooklynbp.nyc.gov/,,,,,,1898,,,https://www.brooklynbp.nyc.gov/contact/,,,,,,,,,,,Borough President- Brooklyn,Boro President Brooklyn,TRUE,TRUE
NYC_GOID_000028,Office of the Borough President of Manhattan,Borough President - Manhattan,Active,Elected Office,,https://www.manhattanbp.nyc.gov/,,,,,,1898,,,https://www.manhattanbp.nyc.gov/connect/,,,,,,,,,,,Borough President- Manhattan,Boro President Manhattan,TRUE,TRUE
NYC_GOID_000029,Office of the Borough President of Queens,Borough President - Queens,Active,Elected Office,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,https://www.queensbp.nyc.gov/,,,,,,1898,,,https://www.queensbp.nyc.gov/,,,,,,,,,,,Borough President- Queens,Boro President Queens,TRUE,TRUE
NYC_GOID_000030,Office of the Borough President of Staten Island,Borough President - Staten Island,Active,Elected Office,,https://www.statenislandusa.com/bp-office.html,,,,,,1898,,,https://www.statenislandusa.com/contact.html,,,,,,,,,,,Borough President- Staten Island,Boro President Staten Island,TRUE,TRUE
NYC_GOID_000034,Brooklyn Bridge Park Corporation,Brooklyn Bridge Park Corporation,Active,Public Benefit or Development Organization,,https://brooklynbridgepark.org/about/brooklyn-bridge-park-corporation/,,BBPC,,,,2010,,,,,,,,,,,,Brooklyn Bridge Park Corporation,,,Brooklyn Bridge Park Corporation,TRUE,FALSE
NYC_GOID_000035,Brooklyn Bridge Park Development Corporation,Brooklyn Bridge Park Development Corporation,Dissolved,Public Benefit or Development Organization,,https://esd.ny.gov/brooklyn-bridge-park-development-corporation-subsidiary,,,,,,,,,,,,,,,,,,,,,Brooklyn Bridge Park Development Corporation,FALSE,FALSE
NYC_GOID_000036,Brooklyn Marine Terminal Task Force,Brooklyn Marine Terminal Task Force,Active,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Marine Terminal Task Force,FALSE,FALSE
NYC_GOID_000037,Brooklyn Navy Yard Development Corporation,Brooklyn Navy Yard Development Corporation,Active,Public Benefit or Development Organization,"The Brooklyn Navy Yard (the Yard) is a mission-driven industrial park that is a nationally acclaimed model of the viability and positive impact of modern, urban industrial development. The Yard is home to 450+ businesses employing more than 11,000 people and generating over $2.5 billion per year in economic impact for the city. Building on the Yard's history as the economic heart of Brooklyn, the 300-acre waterfront asset offers a critical pathway to the middle class for many New Yorkers.",https://www.brooklynnavyyard.org/,,BNYDC,,,,1981,Lindsay Greene,Chief Executive Officer,https://www.brooklynnavyyard.org/,,,Brooklyn Navy Yard,Brooklyn Navy Yard,,Brooklyn Navy Yard Development Corporation (BNYDC),,,Brooklyn Navy Yard Development Corporation,,Brooklyn Navy Yard,Brooklyn Navy Yard Development Corporation,TRUE,FALSE
NYC_GOID_000038,Brooklyn Public Library,"Public Library, Brooklyn",Active,Nonprofit Organization,,https://www.bklynlibrary.org/,,BPL,,38,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Brooklyn+Public+Library+%28BPL%29,1896,Linda E. Johnson,,https://www.bklynlibrary.org/contact,,,"Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)","Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)",Brooklyn Public Library (BPL),Brooklyn Public Library (BPL),,Brooklyn Public Library,Brooklyn Public Library,Brooklyn Public Library,"Brooklyn Public Library (BPL); Library, Brooklyn Public (BPL)",Brooklyn Public Library,FALSE,FALSE
NYC_GOID_000040,Business Integrity Commission,Business Integrity Commission,Active,Advisory or Regulatory Organization,"The Business Integrity Commission is responsible for the regulation of the trade waste industry, the shipboard gambling industry, the Fulton Fish Market distribution area and other seafood distribution areas, and the public wholesale markets. The Commission consists of a full-time chairperson appointed by the Mayor and of the Commissioners of the Departments of Small Business Services, Consumer Affairs, Investigation, Sanitation, and the Police Department.",https://www.nyc.gov/site/bic/index.page,,BIC,,829,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Business+Integrity+Commission+%28BIC%29,2002,Elizabeth Crotty,Commissioner/Chair,https://www.nyc.gov/site/bic/contact/email-the-commissioner.page,,,Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission (BIC),Business Integrity Commission,Business Integrity Commission,Business Integrity Commission,Business Integrity Commission,Business Integrity Commission (BIC),Business Integrity Commission,TRUE,TRUE
NYC_GOID_000041,Cabinet for Older New Yorkers,Cabinet for Older New Yorkers,Active,Advisory or Regulatory Organization,,,,,,,,2022,,,,,,,,,,,,,,,,FALSE,FALSE
NYC_GOID_000042,Campaign Finance Board,Campaign Finance Board,Active,Advisory or Regulatory Organization,"The Campaign Finance Board administers the City Campaign Finance Program, publishes the City Voter Guide, and implements the debate requirement for candidates running for Mayor, Comptroller, and Public Advocate.",https://www.nyccfb.info/,,CFB,,4,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Campaign+Finance+Board+%28CFB%29,1988,Frederick Schaffer,Chair,http://www.nyccfb.info/about/contact,,,Campaign Finance Board (CFB),Campaign Finance Board (CFB),Campaign Finance Board (CFB),Campaign Finance Board (CFB),Campaign Finance Board,Campaign Finance Board,Campaign Finance Board,Campaign Finance Board,Campaign Finance Board (CFB),Campaign Finance Board,TRUE,FALSE
NYC_GOID_000043,Cannabis Advisory Council,Cannabis Advisory Council,Active,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,Cannabis Advisory Council,FALSE,FALSE
NYC_GOID_000044,Caribbean Advisory Council,Caribbean Advisory Council,Active,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,Caribbean Advisory Council,FALSE,FALSE
NYC_GOID_000045,Catskill Watershed Corporation,Catskill Watershed Corporation,Active,Public Benefit or Development Organization,,https://cwconline.org/,,,,,,,,,,,,,,,,,,,,,Catskill Watershed Corporation,TRUE,FALSE
NYC_GOID_000047,Center for Innovation through Data Intelligence,Center for Innovation through Data Intelligence,Active,Mayoral Office,"The Center for Innovation through Data Intelligence (CIDI) is a data intelligence team in the Office of the Deputy Mayor for Health and Human Services (HHS), Office of the Mayor, who establishes partnerships that can leverage the analytical resources of the City of New York through an innovative inter-agency research agenda. This position affords CIDI greater access to data and ensures persons' confidentiality in its research activities.   ",https://www.nyc.gov/site/cidi/index.page,,CIDI,,,,2011,MaryAnne Schretzman,Executive Director,https://www.nyc.gov/site/cidi/contact/contact.page,,,Center for Innovation through Data Intelligence (CIDI),Center for Innovation through Data Intelligence (CIDI),,Center for Innovation through Data Intelligence (CIDI),Center for Innovation through Data Intelligence,Center for Innovation through Data Intelligence,,,Center for Innovation through Data Intelligence (CIDI),Center for Innovation through Data Intelligence,TRUE,TRUE
NYC_GOID_000048,Central Park Conservancy,Central Park Conservancy,Active,Nonprofit Organization,,https://www.centralparknyc.org/,,,,,,,,,,,,,,,,,,,,,Central Park Conservancy,FALSE,FALSE
NYC_GOID_000050,Charter Revision Commission,Charter Revision Commission,Active,Advisory or Regulatory Organization,This site is up for historical purposes only.,https://www.nyc.gov/site/charter/index.page,,CRC,,,,,"Richard R. Buery, Jr.",Chair,https://www.nyc.gov/site/charter/contact/contact-charter.page,,,Charter Revision Commission,Charter Revision Commission,,Charter Revision Commission (CRC),,,,,Charter Revision Commission,Charter Revision Commission,TRUE,FALSE
NYC_GOID_000051,Chief Advisor to the Mayor,Chief Advisor to the Mayor,Active,Mayoral Office,,,,,,,,2022,,Chief Advisor to the Mayor,,,,,Office of the Chief Advisor to the Mayor,,,Chief Advisor to the Mayor,,,,Mayor's Office - Chief Advisor to the Mayor,Chief Advisor to the Mayor,FALSE,FALSE
NYC_GOID_000052,Chief Climate Officer,Chief Climate Officer,Active,Mayoral Office,,,,,,,,2022,Rohit Aggarwala,,,,,,,,,,,,,,Chief Climate Officer,TRUE,TRUE
NYC_GOID_000053,Chief Efficiency Officer,Chief Efficiency Officer,Active,Mayoral Office,,,,,,2,,2022,Denise Clay,Chief Efficiency Officer,,,,,,,Mayor's Office of Efficiency,Mayor's Office of Efficiency,,,,Mayor's Office - Chief Efficiency Officer,Chief Efficiency Officer,TRUE,TRUE
NYC_GOID_000054,Chief Housing Officer,Chief Housing Officer,Reorganized,Mayoral Office,,https://www.nyc.gov/office-of-the-mayor/admin-officials.page,,,,,,2022,,Chief Housing Officer,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,,,,Office of the Chief Housing Officer,,,Chief Housing Officer,,,,Mayor's Office - Chief Housing officer (Resigned in July),,FALSE,FALSE
NYC_GOID_000056,Child Care Advisory Board,Child Care Advisory Board,Active,Advisory or Regulatory Organization,,,,,,,,2022,,,,,,,,,,,,,,,Child Care Advisory Board,FALSE,FALSE
NYC_GOID_000057,Child Care Task Force,Child Care Task Force,Dissolved,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,Child Care Task Force,FALSE,FALSE
NYC_GOID_000058,Child Fatality Review Advisory Team,Child Fatality Review Advisory Team,Active,Public Benefit or Development Organization,,,,,,,,,,,,,,,,,,,,,,,Child Fatality Review Advisory Team,FALSE,FALSE
NYC_GOID_000059,American Museum of Natural History,American Museum of Natural History,Active,Nonprofit Organization,,https://www.amnh.org/about/board-of-trustees,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - American Museum of Natural History,FALSE,FALSE
NYC_GOID_000060,Bronx County Historical Society,"Historical Society, Bronx County",Active,Nonprofit Organization,,,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Bronx County Historical Society,FALSE,FALSE
NYC_GOID_000061,Bronx Museum of the Arts,"Museum of the Arts, Bronx",Active,Nonprofit Organization,,https://www.bronxmuseum.org/about/,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Bronx Museum of the Arts,FALSE,FALSE
NYC_GOID_000062,Brooklyn Academy of Music,"Academy of Music, Brooklyn",Active,Nonprofit Organization,,https://www.bam.org/,,BAM,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Brooklyn Academy of Music (BAM),FALSE,FALSE
NYC_GOID_000063,Brooklyn Botanic Garden,"Botanic Garden, Brooklyn",Active,Nonprofit Organization,,https://www.bbg.org/about/mission,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Brooklyn Botanical Garden,FALSE,FALSE
NYC_GOID_000064,Brooklyn Children's Museum,"Children's Museum, Brooklyn",Active,Nonprofit Organization,,https://www.brooklynkids.org/about/,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Brooklyn Children's Museum,FALSE,FALSE
NYC_GOID_000065,Brooklyn Museum,"Museum, Brooklyn",Active,Nonprofit Organization,,https://www.brooklynmuseum.org/about/board_of_trustees,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Brooklyn Museum,FALSE,FALSE
NYC_GOID_000066,Carnegie Hall,Carnegie Hall,Active,Nonprofit Organization,,https://www.carnegiehall.org/About/Leadership-and-Staff/Board-of-Trustees,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Carnegie Hall,FALSE,FALSE
NYC_GOID_000067,El Museo del Barrio,El Museo del Barrio,Active,Nonprofit Organization,,https://www.elmuseo.org/trustees/,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - El Museo del Barrio,FALSE,FALSE
NYC_GOID_000068,Flushing Council on Culture and the Arts / Flushing Town Hall,Flushing Council on Culture and the Arts / Flushing Town Hall,Active,Nonprofit Organization,,https://www.flushingtownhall.org/board,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Flushing Council on Culture and the Arts / Flushing Town Hall,FALSE,FALSE
NYC_GOID_000069,Jamaica Center for Arts & Learning,Jamaica Center for Arts & Learning,Active,Nonprofit Organization,,https://www.jcal.org/board,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Jamaica Center for Arts and Learning,FALSE,FALSE
NYC_GOID_000070,Jazz at Lincoln Center,Jazz at Lincoln Center,Active,Nonprofit Organization,,https://www.jazz.org/about/,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Jazz at Lincoln Center,FALSE,FALSE
NYC_GOID_000071,Lincoln Center Theater,Lincoln Center Theater,Active,Nonprofit Organization,,http://www.aboutlincolncenter.org/about/board-of-directors,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Lincoln Center for the Performing Arts,FALSE,FALSE
NYC_GOID_000072,Metropolitan Museum of Art,Metropolitan Museum of Art,Active,Nonprofit Organization,,https://www.metmuseum.org/,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Metropolitan Museum of Art,FALSE,FALSE
NYC_GOID_000073,Museum of the City of New York,"City of New York, Museum of the",Active,Nonprofit Organization,,https://www.mcny.org/about,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Museum of the City of New York,FALSE,FALSE
NYC_GOID_000074,Museum of Jewish Heritage,"Jewish Heritage, Museum of",Active,Nonprofit Organization,,https://mjhnyc.org/leadership/,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Museum of Jewish Heritage,FALSE,FALSE
NYC_GOID_000075,Museum of Modern Art,"Modern Art, Museum of",Active,Nonprofit Organization,,https://www.moma.org/about/trustees#the-museum-of-modernart,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Museum of Modern Art,FALSE,FALSE
NYC_GOID_000076,Museum of the Moving Image,"Moving Image, Museum of the",Active,Nonprofit Organization,,https://movingimage.us/about/museum-leadership/,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Museum of the Moving Image,FALSE,FALSE
NYC_GOID_000077,New York Botanical Garden,"Botanical Garden, New York",Active,Nonprofit Organization,,https://www.nybg.org/about/institutional-information/board-of-trustees/,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - New York Botanical Garden,FALSE,FALSE
NYC_GOID_000078,New York City Ballet,"Ballet, New York City",Active,Nonprofit Organization,,https://www.nycballet.com/about-us/board-and-staff/board-of-directors/,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - New York City Ballet,FALSE,FALSE
NYC_GOID_000079,New York City Center,New York City Center,Active,Nonprofit Organization,,https://www.nycitycenter.org/About/board-of-directors/,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - New York City Center,FALSE,FALSE
NYC_GOID_000080,New York Hall of Science,"Hall of Science, New York",Active,Nonprofit Organization,,https://nysci.org/,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - New York Hall of Science,FALSE,FALSE
NYC_GOID_000081,PS 1 Contemporary Art Center,PS 1 Contemporary Art Center,Active,Nonprofit Organization,,https://www.momaps1.org/en,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - PS 1 Contemporary Art Center,FALSE,FALSE
NYC_GOID_000082,Public Theater,Public Theater,Active,Nonprofit Organization,,https://publictheater.org/about/board-of-trustees/,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Public Theater,FALSE,FALSE
NYC_GOID_000083,Queens Botanical Garden,"Botanical Garden, Queens",Active,Nonprofit Organization,,https://queensbotanical.org/staff-board/,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Queens Botanical Garden,FALSE,FALSE
NYC_GOID_000084,Queens Museum,"Museum, Queens",Active,Nonprofit Organization,,https://queensmuseum.org/about,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Queens Museum of Art,FALSE,FALSE
NYC_GOID_000085,Queens Theatre in the Park,"Theatre in the Park, Queens",Active,Nonprofit Organization,,https://queenstheatre.org/about/board-of-directors/,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Queens Theatre in the Park,FALSE,FALSE
NYC_GOID_000086,Snug Harbor Cultural Center & Botanical Garden,Snug Harbor Cultural Center & Botanical Garden,Active,Nonprofit Organization,,https://snug-harbor.org/,,SHCC,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Snug Harbor Cultural Center & Botanical Garden (SHCC),FALSE,FALSE
NYC_GOID_000087,Staten Island Children's Museum,"Children's Museum, Staten Island",Active,Nonprofit Organization,,https://www.sichildrensmuseum.org/,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Staten Island Children's Museum,FALSE,FALSE
NYC_GOID_000088,Staten Island Historical Society,"Historical Society, Staten Island",Active,Nonprofit Organization,,https://www.historicrichmondtown.org/boardofdirectors,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Staten Island Historical Society,FALSE,FALSE
NYC_GOID_000089,Staten Island Museum,"Museum, Staten Island",Active,Nonprofit Organization,,https://www.statenislandmuseum.org/,,SIIAS,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Staten Island Museum (also known as SIIAS),FALSE,FALSE
NYC_GOID_000090,Staten Island Zoological Society,"Zoological Society, Staten Island",Active,Nonprofit Organization,,https://www.nycgovparks.org/about/history/zoos/staten-island-zoo,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Staten Island Zoological Society,FALSE,FALSE
NYC_GOID_000091,Studio Museum in Harlem,Studio Museum in Harlem,Active,Nonprofit Organization,,https://studiomuseum.org/trustees,,,,,,,,,,,Cultural Institutions Group,,,,,,,,,,CIG - Studio Museum in Harlem,FALSE,FALSE
