ChangeID,timestamp,record_id,record_name,column_changed,old_value,new_value,feedback_source,notes,reason,evidence_url,changed_by,RuleAction
20251124-2132_add-name-moa-v2_27,2025-11-24T16:32:00.526548,NYC_GOID_000136,Department of Buildings,BudgetCode,810.0,810,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_28,2025-11-24T16:32:00.526603,NYC_GOID_000137,Department of City Planning,BudgetCode,30.0,030,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_29,2025-11-24T16:32:00.526659,NYC_GOID_000138,Department of Citywide Administrative Services,BudgetCode,857.0,857,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_30,2025-11-24T16:32:00.526715,NYC_GOID_000139,Department of Consumer and Worker Protection,BudgetCode,866.0,866,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_31,2025-11-24T16:32:00.526772,NYC_GOID_000140,Department of Correction,BudgetCode,72.0,072,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_32,2025-11-24T16:32:00.526828,NYC_GOID_000141,Department of Cultural Affairs,BudgetCode,126.0,126,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_33,2025-11-24T16:32:00.526886,NYC_GOID_000142,Department of Design and Construction,BudgetCode,850.0,850,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_34,2025-11-24T16:32:00.526943,NYC_GOID_000143,New York City Public Schools,BudgetCode,40.0,040,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_35,2025-11-24T16:32:00.527002,NYC_GOID_000144,Department of Environmental Protection,BudgetCode,826.0,826,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_36,2025-11-24T16:32:00.527063,NYC_GOID_000145,Department of Finance,BudgetCode,836.0,836,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_37,2025-11-24T16:32:00.527120,NYC_GOID_000146,Department of Health and Mental Hygiene,BudgetCode,816.0,816,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_38,2025-11-24T16:32:00.527175,NYC_GOID_000148,Department of Investigation,BudgetCode,32.0,032,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_39,2025-11-24T16:32:00.527230,NYC_GOID_000149,Department of Parks and Recreation,BudgetCode,846.0,846,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_40,2025-11-24T16:32:00.527284,NYC_GOID_000150,Department of Probation,BudgetCode,781.0,781,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_41,2025-11-24T16:32:00.527340,NYC_GOID_000151,Department of Records and Information Services,BudgetCode,860.0,860,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_42,2025-11-24T16:32:00.527396,NYC_GOID_000152,New York City Department of Sanitation,BudgetCode,827.0,827,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_43,2025-11-24T16:32:00.527462,NYC_GOID_000153,Department of Small Business Services,BudgetCode,801.0,801,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_44,2025-11-24T16:32:00.527521,NYC_GOID_000154,Department of Social Services,BudgetCode,69.0,069,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_45,2025-11-24T16:32:00.527578,NYC_GOID_000155,Department of Homeless Services,BudgetCode,71.0,071,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_46,2025-11-24T16:32:00.527633,NYC_GOID_000157,New York City Department of Transportation,BudgetCode,841.0,841,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_47,2025-11-24T16:32:00.527690,NYC_GOID_000158,Department of Veterans' Services,BudgetCode,63.0,063,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_48,2025-11-24T16:32:00.527746,NYC_GOID_000159,Department of Youth and Community Development,BudgetCode,260.0,260,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_49,2025-11-24T16:32:00.527800,NYC_GOID_000161,Deputy Mayor for Health and Human Services,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_50,2025-11-24T16:32:00.527856,NYC_GOID_000162,Deputy Mayor of Housing Economic and Workforce Development,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_51,2025-11-24T16:32:00.527911,NYC_GOID_000163,Deputy Mayor for Operations,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_52,2025-11-24T16:32:00.527966,NYC_GOID_000164,Deputy Mayor for Public Safety,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_53,2025-11-24T16:32:00.528021,NYC_GOID_000165,Deputy Mayor for Strategic Initiatives,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_54,2025-11-24T16:32:00.528076,NYC_GOID_000166,Deputy Mayor for Communications,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_55,2025-11-24T16:32:00.528129,NYC_GOID_000185,Equal Employment Practices Commission,BudgetCode,133.0,133,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_56,2025-11-24T16:32:00.528180,NYC_GOID_000191,Fire Department of the City of New York,BudgetCode,57.0,057,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_57,2025-11-24T16:32:00.528230,NYC_GOID_000193,First Deputy Mayor,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_58,2025-11-24T16:32:00.528285,NYC_GOID_000216,Department of Housing Preservation and Development,BudgetCode,806.0,806,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_59,2025-11-24T16:32:00.528336,NYC_GOID_000217,Mayor's Office of Housing Recovery Operations,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_60,2025-11-24T16:32:00.528388,NYC_GOID_000222,Independent Budget Office,BudgetCode,132.0,132,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_61,2025-11-24T16:32:00.528440,NYC_GOID_000226,Office of Intergovernmental Affairs,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_62,2025-11-24T16:32:00.528491,NYC_GOID_000236,Landmarks Preservation Commission,BudgetCode,136.0,136,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_63,2025-11-24T16:32:00.528544,NYC_GOID_000238,New York City Law Department,BudgetCode,25.0,025,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_64,2025-11-24T16:32:00.528614,NYC_GOID_000244,Mayor's Advance Team,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_65,2025-11-24T16:32:00.528673,NYC_GOID_000246,Deputy Mayor for Administration and Chief of Staff,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_66,2025-11-24T16:32:00.528728,NYC_GOID_000251,Office of the Mayor,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_67,2025-11-24T16:32:00.528781,NYC_GOID_000252,Mayor's Office for Economic Opportunity,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_68,2025-11-24T16:32:00.528834,NYC_GOID_000253,Mayor's Office to End Domestic and Gender-Based Violence,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_69,2025-11-24T16:32:00.528885,NYC_GOID_000255,Mayor's Office for International Affairs,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_70,2025-11-24T16:32:00.528936,NYC_GOID_000256,Mayor's Office of Media and Research Analysis,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_71,2025-11-24T16:32:00.528988,NYC_GOID_000257,Mayor's Office for Nonprofit Services,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_72,2025-11-24T16:32:00.529039,NYC_GOID_000258,Mayor's Office of Administrative Services,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_73,2025-11-24T16:32:00.529091,NYC_GOID_000260,Mayor's Office of Appointments,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_74,2025-11-24T16:32:00.529142,NYC_GOID_000261,Mayor's Office of Citywide Events Coordination and Management,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_75,2025-11-24T16:32:00.529194,NYC_GOID_000262,Mayor's Office of Climate and Environmental Justice,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_76,2025-11-24T16:32:00.529246,NYC_GOID_000263,Mayor's Office of Climate and Sustainability,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_77,2025-11-24T16:32:00.529296,NYC_GOID_000264,Mayor's Office of Contract Services,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_78,2025-11-24T16:32:00.529349,NYC_GOID_000265,Mayor's Office of Correspondence,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_79,2025-11-24T16:32:00.529399,NYC_GOID_000266,Mayor's Office of Criminal Justice,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_80,2025-11-24T16:32:00.529450,NYC_GOID_000267,Mayor's Office of Equity and Racial Justice,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_81,2025-11-24T16:32:00.529501,NYC_GOID_000268,Mayor's Office of Ethnic and Community Media,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_82,2025-11-24T16:32:00.529553,NYC_GOID_000269,Mayor's Office of Food Policy,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_83,2025-11-24T16:32:00.529605,NYC_GOID_000270,Mayor's Office of Immigrant Affairs,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_84,2025-11-24T16:32:00.529657,NYC_GOID_000271,Mayor's Office of Media and Entertainment,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_85,2025-11-24T16:32:00.529709,NYC_GOID_000272,Mayor's Office of Minority and Women-Owned Business Enterprises,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_86,2025-11-24T16:32:00.529761,NYC_GOID_000274,Mayor's Office of Operations,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_87,2025-11-24T16:32:00.529812,NYC_GOID_000275,Mayor's Office of Pensions and Investments,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_88,2025-11-24T16:32:00.529862,NYC_GOID_000276,Mayor's Office of Policy and Planning,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_89,2025-11-24T16:32:00.529913,NYC_GOID_000277,Mayor's Office of Special Enforcement,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_90,2025-11-24T16:32:00.529964,NYC_GOID_000278,Mayor's Office of Special Projects and Community Events,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_91,2025-11-24T16:32:00.530015,NYC_GOID_000279,"Mayor's Office of Sports, Wellness and Recreation",BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_92,2025-11-24T16:32:00.530065,NYC_GOID_000280,Mayor's Office of Strategic Partnerships,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_93,2025-11-24T16:32:00.530117,NYC_GOID_000281,Mayor's Office of Talent and Workforce Development,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_94,2025-11-24T16:32:00.530168,NYC_GOID_000283,Mayor's Office of Youth Employment,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_95,2025-11-24T16:32:00.530220,NYC_GOID_000284,Mayor's Office for People with Disabilities,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_96,2025-11-24T16:32:00.530271,NYC_GOID_000286,Mayor's Office to Protect Tenants,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_97,2025-11-24T16:32:00.530323,NYC_GOID_000287,Mayor's Office of Risk Management and Compliance,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_98,2025-11-24T16:32:00.530374,NYC_GOID_000288,Mayor's Office - Senior Advisor and Director of Public Service Engagement,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_99,2025-11-24T16:32:00.530428,NYC_GOID_000290,Mayor's Office - Senior Advisor to the Mayor,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_100,2025-11-24T16:32:00.530480,NYC_GOID_000291,Mayor's Office of Speechwriting,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_101,2025-11-24T16:32:00.530533,NYC_GOID_000292,Mayor's Press Office,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_102,2025-11-24T16:32:00.530585,NYC_GOID_000298,Mayor's Office of the Utility Consumer Advocate,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_103,2025-11-24T16:32:00.530641,NYC_GOID_000303,Municipal Division of Transitional Services,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_104,2025-11-24T16:32:00.530694,NYC_GOID_000306,Mayor's Office of Municipal Services Assessment,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_105,2025-11-24T16:32:00.530747,NYC_GOID_000312,New York City Children's Cabinet,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_106,2025-11-24T16:32:00.530799,NYC_GOID_000315,New York City Emergency Management,BudgetCode,17.0,017,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_107,2025-11-24T16:32:00.530851,NYC_GOID_000318,NYC Health + Hospitals,BudgetCode,819.0,819,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_108,2025-11-24T16:32:00.530903,NYC_GOID_000335,New York Public Library,BudgetCode,37.0,037,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_109,2025-11-24T16:32:00.530956,NYC_GOID_000343,New York City Office of the Actuary,BudgetCode,8.0,008,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_110,2025-11-24T16:32:00.531006,NYC_GOID_000344,Office of the Administrative Justice Coordinator,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_111,2025-11-24T16:32:00.531056,NYC_GOID_000345,Office of Administrative Tax Appeals,BudgetCode,21.0,021,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_112,2025-11-24T16:32:00.531106,NYC_GOID_000346,Office of Administrative Trials and Hearings,BudgetCode,820.0,820,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_113,2025-11-24T16:32:00.531155,NYC_GOID_000347,Office of Asylum Seeker Operations,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_114,2025-11-24T16:32:00.531205,NYC_GOID_000349,Office of Capital Project Development,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_115,2025-11-24T16:32:00.531256,NYC_GOID_000351,Mayor's Office for Childcare and Early Childhood Education,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_116,2025-11-24T16:32:00.531307,NYC_GOID_000353,Office of Climate Resiliency,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_117,2025-11-24T16:32:00.531359,NYC_GOID_000354,Office of Collective Bargaining,BudgetCode,313.0,313,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
20251124-2132_add-name-moa-v2_118,2025-11-24T16:32:00.531410,NYC_GOID_000355,Office of Community Hiring,BudgetCode,2.0,002,System_GlobalRule,Formatted BudgetCode,,,Claude Code,FORMAT_BUDGET_CODE
