record_id,record_name,field_name,action,justification,evidence_url
NYC_GOID_000016,Atlantic Yards Community Development Corporation,Name - MOA,"Set to ""Atlantic Yards Community Development Corporation""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000018,Banking Commission,Name - MOA,"Set to ""Banking Commission - Department of Finance""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000021,Board of Correction,Name - MOA,"Set to ""Board of Correction""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000022,Board of Education Retirement System,Name - MOA,"Set to ""Board of Education Retirement System""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000024,Board of Health,Name - MOA,"Set to ""Board of Health""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000025,Board of Standards and Appeals,Name - MOA,"Set to ""Board of Standards & Appeals""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000034,Brooklyn Bridge Park Corporation,Name - MOA,"Set to ""Brooklyn Bridge Park Corporation""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000035,Brooklyn Bridge Park Development Corporation,Name - MOA,"Set to ""Brooklyn Bridge Park Development Corporation - Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000037,Brooklyn Navy Yard Development Corporation,Name - MOA,"Set to ""Brooklyn Navy Yard Development Corp""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000038,Brooklyn Public Library,Name - MOA,"Set to ""Brooklyn Public Library - Board of Trustees""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000042,Campaign Finance Board,Name - MOA,"Set to ""Campaign Finance Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000048,Central Park Conservancy,Name - MOA,"Set to ""Central Park Conservancy - Board of Trustees""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000058,Child Fatality Review Advisory Team,Name - MOA,"Set to ""Child Fatality Review Advisory Team""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000096,City Commission on Human Rights,Name - MOA,"Set to ""Commission on Human Rights""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000098,City Planning Commission,Name - MOA,"Set to ""City Planning Commission""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000099,City University of New York,Name - MOA,"Set to ""City University of New York - Board of Trustees""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000100,City University Construction Fund,Name - MOA,"Set to ""City University Construction Fund - Board of Trustees""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000103,Civil Service Commission,Name - MOA,"Set to ""Civil Service Commission""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000105,Civilian Complaint Review Board,Name - MOA,"Set to ""Civilian Complaint Review Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000106,Climate Change Adaptation Taskforce,Name - MOA,"Set to ""Climate Change Adaptation Task Force""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000111,Commission on Gender Equity,Name - MOA,"Set to ""Commission on Gender Equity""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000112,Commission on Public Information and Communication,Name - MOA,"Set to ""Commission on Public Information and Communication""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000116,Community Action Board at the NYC Department of Youth and Community Development,Name - MOA,"Set to ""Community Action Board - Dept. of Youth and Community Development""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000121,Community Services Board - Mental Health Subcommittee,Name - MOA,"Set to ""Community Services Board (Mental Hygiene Advisory Board)""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000124,Conflicts of Interest Board,Name - MOA,"Set to ""Conflicts of Interest Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000125,Convention Center Development Corporation,Name - MOA,"Set to ""Convention Center Development Corporation - Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000126,Convention Center Operating Corporation (Javits),Name - MOA,"Set to ""Convention Center Operation Corporation - Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000127,Council for Airport Opportunity,Name - MOA,"Set to ""Council for Airport Opportunity Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000130,Cultural Institutions Retirement System,Name - MOA,"Set to ""Cultural Institutions Representatives""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000133,Deferred Compensation Board,Name - MOA,"Set to ""Deferred Compensation Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000174,Domestic Violence Fatality Review Committee,Name - MOA,"Set to ""Domestic Violence Fatality Review Committee""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000177,Economic Development Corporation,Name - MOA,"Set to ""NYC Economic Development Corporation Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000182,Environmental Control Board,Name - MOA,"Set to ""Environmental Control Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000185,Equal Employment Practices Commission,Name - MOA,"Set to ""Equal Employment Practices Commission""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000190,Financial Information Services Agency,Name - MOA,"Set to ""Financial Information Services - Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000192,Fire Department Pension Fund and Related Funds,Name - MOA,"Set to ""Fire Department Pension Fund Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000195,Food Service Establishment Advisory Board,Name - MOA,"Set to ""Food Service Establishment Advisory Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000197,Franchise and Concession Review Committee,Name - MOA,"Set to ""Franchise and Concession Review Committee""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000208,GrowNYC,Name - MOA,"Set to ""GrowNYC""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000213,HIV Planning Council,Name - MOA,"Set to ""HIV Health and Human Services Planning Council""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000214,HIV/AIDS Services Advisory Board,Name - MOA,"Set to ""HIV / AIDS Services Administration (HASA) Advisory Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000215,Housing Development Corporation,Name - MOA,"Set to ""Housing Development Corporation""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000218,Hudson River Park Trust,Name - MOA,"Set to ""Hudson River Park Trust - Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000221,Hurricane Sandy Charitable Organizations and Houses of Worship Recovery Taskforce,Name - MOA,"Set to ""Hurricane Sandy Charitable Organizations and Houses of Worship Recovery Taskforce""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000224,Industrial Development Agency,Name - MOA,"Set to ""Industrial Development Agency""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000230,"Jamaica Bay - Rockaway Parks Conservancy, Inc.",Name - MOA,"Set to ""Jamaica Bay - Rockaway Parks Conservancy, Inc.""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000235,Land Development Corporation,Name - MOA,"Set to ""NYC Land Development Corporation""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000236,Landmarks Preservation Commission,Name - MOA,"Set to ""Landmarks Preservation Commission""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000237,Latin Media and Entertainment Commission,Name - MOA,"Set to ""Latin Media and Entertainment Commission""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000240,New York City Loft Board,Name - MOA,"Set to ""Loft Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000241,Lower Manhattan Development Corporation,Name - MOA,"Set to ""Lower Manhattan Development Corporation""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000245,Mayor's Advisory Committee on the Judiciary,Name - MOA,"Set to ""Mayor's Advisory Committee on the Judiciary""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000247,Mayor's Committee on City Marshals,Name - MOA,"Set to ""Mayor's Committee on City Marshals""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000248,Mayor's Fund to Advance New York City,Name - MOA,"Set to ""Mayor's Fund to Advance New York""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000299,Moynihan Station Development Corporation,Name - MOA,"Set to ""Moynihan Station Development Corporation""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000310,New York City Tourism + Conventions,Name - MOA,"Set to ""NYC & Co""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000316,New York City Employee Retirement System,Name - MOA,"Set to ""New York City Employees' Retirement System (NYCERS) Board of Trustees""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000318,NYC Health + Hospitals,Name - MOA,"Set to ""Health and Hospitals Corporation - Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000320,New York City Housing Authority Board,Name - MOA,"Set to ""New York City Housing Authority Board (NYCHA)""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000324,New York City Panel on Climate Change,Name - MOA,"Set to ""New York City Panel on Climate Change""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000330,New York City Transit Riders Council,Name - MOA,"Set to ""Transit Riders Council - NYC Transit Authority Advisory Council""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000335,New York Public Library,Name - MOA,"Set to ""New York Public Library""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000354,Office of Collective Bargaining,Name - MOA,"Set to ""Board of Collective Bargaining (Office of Collective Bargaining)""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000377,Office of Payroll Administration,Name - MOA,"Set to ""Office of Payroll Adminstration - Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000387,Panel on Educational Policy,Name - MOA,"Set to ""Panel on Education Policy""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000390,New York City Police Pension Fund,Name - MOA,"Set to ""Police Department Pension Fund""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000392,Procurement Policy Board,Name - MOA,"Set to ""Procurement Policy Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000394,Prospect Park Alliance,Name - MOA,"Set to ""Prospect Park Alliance - Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000397,Public Design Commission,Name - MOA,"Set to ""Public Design Commission""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000402,Queens Public Library,Name - MOA,"Set to ""Queens Borough Public Library - Board of Trustees""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000405,Randall's Island Park Alliance,Name - MOA,"Set to ""Randall's Island Park Alliance, Inc.""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000408,Rent Guidelines Board,Name - MOA,"Set to ""Rent Guidelines Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000414,Roosevelt Island Operating Corporation,Name - MOA,"Set to ""Roosevelt Island Operating Corporation - Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000416,School Construction Authority,Name - MOA,"Set to ""School Construction Authority - Board of Trustees""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000418,Senior Advisory Council,Name - MOA,"Set to ""Senior Advisory Council""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000424,Soil and Water Conservation District,Name - MOA,"Set to ""Soil & Water Conservation District Board - Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000427,State Fire Prevention and Building Code Council,Name - MOA,"Set to ""State Fire Prevention and Building Code Council""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000430,Sustainability Advisory Board,Name - MOA,"Set to ""OneNYC""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000436,New York City Taxi and Limousine Commission,Name - MOA,"Set to ""Taxi and Limousine Commission; Taxi and Limousine Commission Advisory Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000437,Teachers' Retirement System of City of New York,Name - MOA,"Set to ""Teachers' Retirement Board - Teachers' Retirement System""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000442,Theater Subdistrict Council Local Development Corporation,Name - MOA,"Set to ""Theater Subdistrict Council, LDC""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000448,Trust for Cultural Resources,Name - MOA,"Set to ""Trust for Cultural Resources""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000449,Trust for Governors Island,Name - MOA,"Set to ""Governors Island Corp. / Trust for Governors Island""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000452,United Nations Development Corporation,Name - MOA,"Set to ""United Nations Development Corporations""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000458,Voter Assistance Advisory Committee,Name - MOA,"Set to ""Voter Assistance Advisory Committee""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000459,New York City Water Board,Name - MOA,"Set to ""Water Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000460,Waterfront Management Advisory Board,Name - MOA,"Set to ""Waterfront Management Advisory Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000461,Workforce Development Board,Name - MOA,"Set to ""Workforce Development Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000464,National September 11 Memorial and Museum,Name - MOA,"Set to ""World Trade Center Memorial Foundation - Board of Directors National September 11 Memorial and Museum at the WTC""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_000476,Metropolitan Transportation Authority,Name - MOA,"Set to ""Metropolitan Transportation Authority Board of Directors""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_100013,Archival Review Board,Name - MOA,"Set to ""Archival Review Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_100014,Build NYC Resource Corporation,Name - MOA,"Set to ""Build NYC Resource Corporation""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_100016,Cultural Affairs Advisory Commission,Name - MOA,"Set to ""Cultural Affairs Advisory Commission - Department of Cultural Affairs""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_100023,Tax Appeals Tribunal,Name - MOA,"Set to ""Tax Appeals Tribunal - Office of Administrative Tax Appeals""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_100024,New York City Tax Commission,Name - MOA,"Set to ""Tax Commission - Office of Administrative Tax Appeals""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_100025,Young Men's Initiative Advisory Board,Name - MOA,"Set to ""Young Men's Initiative Advisory Board""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC_GOID_100026,Youth Board,Name - MOA,"Set to ""Youth Board (DYCD)""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NEW,Technology Development Corporation,name,"Set to ""Technology Development Corporation""","Add new entity. NYC Technology Development Corporation (TDC) was a Type C not-for-profit component unit (blended component unit of the City) created around 2012 to provide IT project management. It was wound down as of June 30, 2017. Currently listed on MOA appointments page. Previous Audit Committee URL returned 404 - removed per URL validation requirements",https://comptroller.nyc.gov/wp-content/uploads/2016/12/TDC-Financial-Statements-6-30-16.pdf
NEW,Technology Development Corporation,name_alphabetized,"Set to ""Technology Development Corporation""",Add new entity - alphabetized name same as primary name,
NEW,Technology Development Corporation,operational_status,"Set to ""Dissolved""","Add new entity - TDC operations ceased and it was wound down as of June 30, 2017 per audit committee documentation",https://comptroller.nyc.gov/wp-content/uploads/2016/12/TDC-Financial-Statements-6-30-16.pdf
NEW,Technology Development Corporation,organization_type,"Set to ""Public Benefit or Development Organization""","Add new entity - TDC was a Type C not-for-profit component unit of the City, similar structure to NYCEDC",https://comptroller.nyc.gov/wp-content/uploads/2016/12/TDC-Financial-Statements-6-30-16.pdf
NEW,Technology Development Corporation,description,"Set to ""The NYC Technology Development Corporation is a non-profit organization serving New York City by providing standardized information technology project support to selected agency projects through the consistent application of best practices.""",Add new entity - description from MOA appointments page,
NEW,Technology Development Corporation,alternate_or_former_names,"Set to """"","Add new entity - No alternate or former names identified with evidence. Acronyms (TDC, NYC TDC) excluded per field standards. 'NYC Technology Development Corporation' appears in description but insufficient evidence it was used as distinct alternate name in official sources",https://comptroller.nyc.gov/wp-content/uploads/2016/12/TDC-Financial-Statements-6-30-16.pdf
NEW,Technology Development Corporation,acronym,"Set to ""TDC""",Add new entity - commonly used acronym,
NEW,Technology Development Corporation,governance_structure,"Set to ""Type C not-for-profit component unit (blended component unit of the City), modeled on NYCEDC structure""","Add new entity - Type C not-for-profit component unit structure similar to NYCEDC. Historical context (created circa 2012, dissolved June 30, 2017) not included as notes field not in published schema",https://comptroller.nyc.gov/wp-content/uploads/2016/12/TDC-Financial-Statements-6-30-16.pdf
NEW,Technology Development Corporation,authorizing_authority,"Set to """"","Add new entity - TDC created circa 2012 but specific legal authority not identified after research. Searched for Executive Order, Local Law, Administrative Code, and Charter provisions. TDC Financial Statements () and Audit Committee docs mention creation but do not cite specific authorizing authority. Similar entities (NYCEDC) may provide pattern for future research",https://comptroller.nyc.gov/wp-content/uploads/2016/12/TDC-Financial-Statements-6-30-16.pdf
NEW,Technology Development Corporation,authorizing_url,"Set to """"",Add new entity - URL not available as authorizing authority not identified,
NEW,Technology Development Corporation,authorizing_authority_type,"Set to """"",Add new entity - Type not available as authorizing authority not identified,
NEW,Technology Development Corporation,Name - MOA,"Set to ""Technology Development Corporation""",MOA crosswalk mapping - exact name from MOA appointments page,https://www.nyc.gov/content/appointments/pages/boards-commissions
NEW,Community Investment Advisory Board,name,"Set to ""Community Investment Advisory Board""",Add new entity. CIAB established by Local Law 38 of 2012 (Responsible Banking Act) and codified in NYC Charter §1524-a. Active 2014-2015 conducting banking needs assessments. Enabling law struck down in 2015 (NY Bankers Assn v. City of NY) as preempted by federal/state law. Board still exists in Charter (current as of Nov 2025) and listed on various rosters but functionally dormant with no evidence of meetings/reports post-2015.Charter §1524-a: 2015 activity: Court decision,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6586
NEW,Community Investment Advisory Board,name_alphabetized,"Set to ""Community Investment Advisory Board""",Add new entity - alphabetized name same as primary name,
NEW,Community Investment Advisory Board,operational_status,"Set to ""Inactive""","Add new entity - CIAB legally exists in Charter but functionally dormant since enabling law struck down in 2015. No evidence of meetings, hearings, or reports post-2015 despite still being listed on official rosters",https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6586
NEW,Community Investment Advisory Board,organization_type,"Set to ""Advisory or Regulatory Organization""",Add new entity - CIAB is an advisory board within Department of Finance per Charter §1524-a,https://codelibrary.amlegal.com/codes/newyorkcity/latest/NYCcharter/0-0-0-6586
NEW,Community Investment Advisory Board,description,"Set to ""The NYC Responsible Banking Act requires the establishment of a Community Investment Advisory Board (CIAB) to conduct an assessment of banking services needs throughout New York City and to evaluate the record of banks doing business with the City.""",Add new entity - description from MOA appointments page,
NEW,Community Investment Advisory Board,url,"Set to """"",Add new entity - no dedicated CIAB website exists,
NEW,Community Investment Advisory Board,alternate_or_former_names,"Set to """"","Add new entity - No alternate or former names identified with evidence. Acronym (CIAB) excluded per field standards - acronyms belong in acronym field, not alternate_or_former_names",
NEW,Community Investment Advisory Board,acronym,"Set to ""CIAB""",Add new entity - Community Investment Advisory Board acronym,
