Row(s),Column,feedback,reason
NYC_GOID_000362,alternate_or_former_names,"Set to Mayor's Office of Engagement""""",Added alternate name
NYC_GOID_000362,url,"Set to https://www.nyc.gov/content/engagement/pages/""""",Added url for active website
NYC_GOID_000362,acronym,"Set to ENG""""",Added acronym
NYC_GOID_000362,PrincipalOfficerFullName,"Set to Crystal Price""""",Added current principal officer info
NYC_GOID_000362,PrincipalOfficerGivenName,"Set to Crystal""""",Added current principal officer info
NYC_GOID_000362,PrincipalOfficerFamilyName,"Set to Price""""",Added current principal officer info
NYC_GOID_000362,PrincipalOfficerContactURL,"Set to https://www.nyc.gov/content/engagement/pages/contact-us""""",Added current principal officer contact info
NYC_GOID_000377,organization_type,"Set to Mayoral Agency""""",Corrected organizational type field.
NYC_GOID_000380,PrincipalOfficerFullName,"Set to """,Removed incorrectly listed principal officer info
NYC_GOID_000380,PrincipalOfficerGivenName,"Set to """,Removed incorrectly listed principal officer info
NYC_GOID_000380,PrincipalOfficerFamilyName,"Set to """,Removed incorrectly listed principal officer info
NYC_GOID_000386,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000388,organization_type,"Set to Advisory or Regulatory Organization""""",Changed to reflect more accurate organization_type
NYC_GOID_000400,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000406,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000407,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000411,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000413,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000420,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000423,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000424,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000426,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000427,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000429,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000439,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000442,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000446,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000447,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000448,PrincipalOfficerFullName,"Set to Leah C. Johnson""""",Added current principal officer info
NYC_GOID_000448,PrincipalOfficerGivenName,"Set to Leah""""",Added current principal officer info
NYC_GOID_000448,PrincipalOfficerFamilyName,"Set to Johnson""""",Added current principal officer info
NYC_GOID_000448,PrincipalOfficerTitle,"Set to Chair""""",Added current principal officer info
NYC_GOID_000454,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_000460,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_100014,url,"Set to https://edc.nyc/build-nyc""""",Added the url for the current webpage.
NYC_GOID_100019,PrincipalOfficerFullName,"Set to Pastor Gilford Monrose""""",Changed to reflect current Executive Director
NYC_GOID_100019,PrincipalOfficerGivenName,"Set to Gilford""""",Added current principal officer info
NYC_GOID_100019,PrincipalOfficerFamilyName,"Set to Monrose""""",Added current principal officer info
NYC_GOID_100019,PrincipalOfficerTitle,"Set to Executive Director""""",Added current principal officer info
NYC_GOID_100020,organization_type,"Set to Division""""",Changed to reflect more accurate organization_type
NYC_GOID_100022,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_100024,organization_type,"Set to Advisory or Regulatory Organization""""",Changed to reflect more accurate organization_type
NYC_GOID_100025,operational_status,"Set to Verification Pending""""",Insufficient evidence found to confirm Active status.
NYC_GOID_100029,url,"Set to https://www.nyc.gov/site/officeconversions/index.page""""",URL for active webpage added.
NYC_GOID_100029,PrincipalOfficerContactURL,"Set to https://www.nyc.gov/site/officeconversions/contact/contact.page""""",Added contact url
