ChangeID,timestamp,record_id,record_name,column_changed,old_value,new_value,feedback_source,notes,changed_by,RuleAction
v0_10_27,2025-06-27T13:04:34.054549,NYC_GOID_000170,Manhattan District Attorney's Office,NameAlphabetized,District Attorney - Manhattan,"District Attorney's Office, Manhattan",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""District Attorney's Office, Manhattan""",v0_10_recovery_run,direct_set
v0_10_28,2025-06-27T13:04:34.054773,NYC_GOID_000170,Manhattan District Attorney's Office,AlternateOrFormerNames,District Attorney - New York County,New York County District Attorney's Office,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""New York County District Attorney's Office""",v0_10_recovery_run,direct_set
v0_10_29,2025-06-27T13:04:34.054995,NYC_GOID_000259,Mayor's Office of Animal Welfare,NameAlphabetized,"Animal Welfare, Office of","Animal Welfare, Mayor's Office of",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Animal Welfare, Mayor's Office of""",v0_10_recovery_run,direct_set
v0_10_30,2025-06-27T13:04:34.055221,NYC_GOID_000265,Mayor's Office of Correspondence,NameAlphabetized,"Correspondence, Office of","Correspondence, Mayor's Office of",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Correspondence, Mayor's Office of""",v0_10_recovery_run,direct_set
v0_10_31,2025-06-27T13:04:34.055444,NYC_GOID_000269,Mayor's Office of Food Policy,NameAlphabetized,"Food Policy, Office of","Food Policy, Mayor's Office of",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Food Policy, Mayor's Office of""",v0_10_recovery_run,direct_set
v0_10_32,2025-06-27T13:04:34.055650,NYC_GOID_000308,Municipal Water Finance Authority,Name,Municipal Water Finance Authority,New York City Municipal Water Finance Authority,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""New York City Municipal Water Finance Authority""",v0_10_recovery_run,direct_set
v0_10_33,2025-06-27T13:04:34.055873,NYC_GOID_000308,New York City Municipal Water Finance Authority,NameAlphabetized,"Municipal Water Finance Authority, NYC","Municipal Water Finance Authority, New York City",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Municipal Water Finance Authority, New York City""",v0_10_recovery_run,direct_set
v0_10_34,2025-06-27T13:04:34.056100,NYC_GOID_000240,New York City Loft Board,NameAlphabetized,New York City Loft Board,"Loft Board, New York City",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Loft Board, New York City""",v0_10_recovery_run,direct_set
v0_10_35,2025-06-27T13:04:34.056325,NYC_GOID_000334,New York County Public Administrator,NameAlphabetized,Public Administrator - New York County,"Public Administrator, New York County",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Public Administrator, New York County""",v0_10_recovery_run,direct_set
v0_10_36,2025-06-27T13:04:34.056531,NYC_GOID_000343,Office of the Actuary,Name,Office of the Actuary,New York City Office of the Actuary,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""New York City Office of the Actuary""",v0_10_recovery_run,direct_set
v0_10_37,2025-06-27T13:04:34.056776,NYC_GOID_000027,Office of the Borough President of Brooklyn,NameAlphabetized,Borough President - Brooklyn,"Borough President, Brooklyn",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Borough President, Brooklyn""",v0_10_recovery_run,direct_set
v0_10_38,2025-06-27T13:04:34.057007,NYC_GOID_000028,Office of the Borough President of Manhattan,NameAlphabetized,Borough President - Manhattan,"Borough President, Manhattan",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Borough President, Manhattan""",v0_10_recovery_run,direct_set
v0_10_39,2025-06-27T13:04:34.057233,NYC_GOID_000029,Office of the Borough President of Queens,NameAlphabetized,Borough President - Queens,"Borough President, Queens",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Borough President, Queens""",v0_10_recovery_run,direct_set
v0_10_40,2025-06-27T13:04:34.057455,NYC_GOID_000030,Office of the Borough President of Staten Island,NameAlphabetized,Borough President - Staten Island,"Borough President, Staten Island",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Borough President, Staten Island""",v0_10_recovery_run,direct_set
v0_10_41,2025-06-27T13:04:34.057677,NYC_GOID_000026,Office of the Borough President of The Bronx,NameAlphabetized,Borough President - Bronx,"Borough President, Bronx",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Borough President, Bronx""",v0_10_recovery_run,direct_set
v0_10_42,2025-06-27T13:04:34.057884,NYC_GOID_000172,Office of the District Attorney Richmond County,Name,Office of the District Attorney Richmond County,Staten Island District Attorney's Office,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Staten Island District Attorney's Office""",v0_10_recovery_run,direct_set
v0_10_43,2025-06-27T13:04:34.058106,NYC_GOID_000172,Staten Island District Attorney's Office,NameAlphabetized,District Attorney - Richmond County,"District Attorney's Office, Staten Island",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""District Attorney's Office, Staten Island""",v0_10_recovery_run,direct_set
v0_10_44,2025-06-27T13:04:34.058330,NYC_GOID_000172,Staten Island District Attorney's Office,AlternateOrFormerNames,District Attorney - Staten Island,Richmond County District Attorney's Office,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Richmond County District Attorney's Office""",v0_10_recovery_run,direct_set
v0_10_45,2025-06-27T13:04:34.058539,NYC_GOID_000389,Police Department,Name,Police Department,New York City Police Department,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""New York City Police Department""",v0_10_recovery_run,direct_set
v0_10_46,2025-06-27T13:04:34.058765,NYC_GOID_000389,New York City Police Department,NameAlphabetized,Police Department,"Police Department, New York City",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Police Department, New York City""",v0_10_recovery_run,direct_set
v0_10_47,2025-06-27T13:04:34.058994,NYC_GOID_000389,New York City Police Department,AlternateOrFormerNames,,Police Department,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Police Department""",v0_10_recovery_run,direct_set
v0_10_48,2025-06-27T13:04:34.059221,NYC_GOID_000401,Public Administrator of Queens County,NameAlphabetized,Public Administrator - Queens County,"Public Administrator, Queens County",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Public Administrator, Queens County""",v0_10_recovery_run,direct_set
v0_10_49,2025-06-27T13:04:34.059451,NYC_GOID_000171,Queens District Attorney's Office,NameAlphabetized,District Attorney - Queens County,"District Attorney's Office, Queens",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""District Attorney's Office, Queens""",v0_10_recovery_run,direct_set
v0_10_50,2025-06-27T13:04:34.059678,NYC_GOID_000171,Queens District Attorney's Office,AlternateOrFormerNames,,Queens County District Attorney's Office,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Queens County District Attorney's Office""",v0_10_recovery_run,direct_set
v0_10_51,2025-06-27T13:04:34.059902,NYC_GOID_000412,Richmond County Public Administrator,NameAlphabetized,Public Administrator - Richmond County,"Public Administrator, Richmond County",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Public Administrator, Richmond County""",v0_10_recovery_run,direct_set
v0_10_52,2025-06-27T13:04:34.060110,NYC_GOID_000069,Jamaica Center for Arts & Learning,Name,Jamaica Center for Arts & Learning,Jamaica Center for Arts and Learning,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Jamaica Center for Arts and Learning""",v0_10_recovery_run,direct_set
v0_10_53,2025-06-27T13:04:34.060336,NYC_GOID_000069,Jamaica Center for Arts and Learning,NameAlphabetized,Jamaica Center for Arts & Learning,Jamaica Center for Arts and Learning,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Jamaica Center for Arts and Learning""",v0_10_recovery_run,direct_set
v0_10_54,2025-06-27T13:04:34.060546,NYC_GOID_100027,"Office of Film, Theatre, & Broadcasting",Name,"Office of Film, Theatre, & Broadcasting","Office of Film, Theatre, and Broadcasting",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Office of Film, Theatre, and Broadcasting""",v0_10_recovery_run,direct_set
v0_10_55,2025-06-27T13:04:34.060770,NYC_GOID_100027,"Office of Film, Theatre, and Broadcasting",NameAlphabetized,"Film, Theatre, & Broadcasting, Office of","Film, Theatre, and Broadcasting, Office of",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Film, Theatre, and Broadcasting, Office of""",v0_10_recovery_run,direct_set
v0_10_56,2025-06-27T13:04:34.060979,NYC_GOID_000086,Snug Harbor Cultural Center & Botanical Garden,Name,Snug Harbor Cultural Center & Botanical Garden,Snug Harbor Cultural Center and Botanical Garden,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Snug Harbor Cultural Center and Botanical Garden""",v0_10_recovery_run,direct_set
v0_10_57,2025-06-27T13:04:34.061205,NYC_GOID_000086,Snug Harbor Cultural Center and Botanical Garden,NameAlphabetized,Snug Harbor Cultural Center & Botanical Garden,Snug Harbor Cultural Center and Botanical Garden,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Snug Harbor Cultural Center and Botanical Garden""",v0_10_recovery_run,direct_set
v0_10_58,2025-06-27T13:04:34.061433,NYC_GOID_000426,"Sports, Wellness, and Recreation Advisory Board",NameAlphabetized,"Sports, Wellness, & Recreation Advisory Board","Sports, Wellness, and Recreation Advisory Board",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Sports, Wellness, and Recreation Advisory Board""",v0_10_recovery_run,direct_set
v0_10_59,2025-06-27T13:04:34.061642,NYC_GOID_000459,Water Board,Name,Water Board,New York City Water Board,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""New York City Water Board""",v0_10_recovery_run,direct_set
v0_10_60,2025-06-27T13:04:34.061865,NYC_GOID_000459,New York City Water Board,NameAlphabetized,New York City Water Board,"Water Board, New York City",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Water Board, New York City""",v0_10_recovery_run,direct_set
v0_10_61,2025-06-27T13:04:34.062094,NYC_GOID_000058,Child Fatality Review Advisory Team,OrganizationType,Public Benefit or Development Organization,Advisory or Regulatory Organization,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Advisory or Regulatory Organization""",v0_10_recovery_run,direct_set
v0_10_62,2025-06-27T13:04:34.062324,NYC_GOID_000464,National September 11 Memorial and Museum,OrganizationType,Public Benefit or Development Organization,Nonprofit Organization,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Nonprofit Organization""",v0_10_recovery_run,direct_set
v0_10_63,2025-06-27T13:04:34.062553,NYC_GOID_000196,Forest Park Trust,OrganizationType,Nonprofit Organization,Public Benefit or Development Organization,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Public Benefit or Development Organization""",v0_10_recovery_run,direct_set
v0_10_64,2025-06-27T13:04:34.062780,NYC_GOID_000218,Hudson River Park Trust,OrganizationType,Nonprofit Organization,Public Benefit or Development Organization,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Public Benefit or Development Organization""",v0_10_recovery_run,direct_set
v0_10_65,2025-06-27T13:04:34.063005,NYC_GOID_000448,Trust for Cultural Resources,OrganizationType,Nonprofit Organization,Public Benefit or Development Organization,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Public Benefit or Development Organization""",v0_10_recovery_run,direct_set
v0_10_66,2025-06-27T13:04:34.063234,NYC_GOID_000449,Trust for Governors Island,OrganizationType,Nonprofit Organization,Public Benefit or Development Organization,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Public Benefit or Development Organization""",v0_10_recovery_run,direct_set
v0_10_67,2025-06-27T13:04:34.063443,NYC_GOID_000344,Office of Administrative Justice Coordinator,Name,Office of Administrative Justice Coordinator,Office of the Administrative Justice Coordinator,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Office of the Administrative Justice Coordinator""",v0_10_recovery_run,direct_set
v0_10_68,2025-06-27T13:04:34.063667,NYC_GOID_000344,Office of the Administrative Justice Coordinator,NameAlphabetized,"Administrative Justice Coordinator, Office of","Administrative Justice Coordinator, Office of the",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Administrative Justice Coordinator, Office of the""",v0_10_recovery_run,direct_set
v0_10_69,2025-06-27T13:04:34.063893,NYC_GOID_000355,Office of Community Hiring,OrganizationType,Mayoral Office,Division,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Division""",v0_10_recovery_run,direct_set
v0_10_70,2025-06-27T13:04:34.064118,NYC_GOID_000355,Office of Community Hiring,ReportsTo,,Mayor's Office of Talent and Workforce Development,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Mayor's Office of Talent and Workforce Development""",v0_10_recovery_run,direct_set
v0_10_71,2025-06-27T13:04:34.064328,NYC_GOID_000468,Young Men's Initiative,Name,Young Men's Initiative,New York City Young Men's Initiative,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""New York City Young Men's Initiative""",v0_10_recovery_run,direct_set
v0_10_72,2025-06-27T13:04:34.064552,NYC_GOID_000468,New York City Young Men's Initiative,NameAlphabetized,Young Men's Initiative,"Young Men's Initiative, New York City",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Young Men's Initiative, New York City""",v0_10_recovery_run,direct_set
v0_10_73,2025-06-27T13:04:34.064776,NYC_GOID_000468,New York City Young Men's Initiative,AlternateOrFormerNames,,Young Men's Initiative,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Young Men's Initiative""",v0_10_recovery_run,direct_set
v0_10_74,2025-06-27T13:04:34.065002,NYC_GOID_000135,Department for the Aging,AlternateOrFormerNames,,NYC Aging,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""NYC Aging""",v0_10_recovery_run,direct_set
v0_10_75,2025-06-27T13:04:34.065212,NYC_GOID_000143,Department of Education,Name,Department of Education,New York City Public Schools,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""New York City Public Schools""",v0_10_recovery_run,direct_set
v0_10_76,2025-06-27T13:04:34.065437,NYC_GOID_000143,New York City Public Schools,NameAlphabetized,"Education, Department of","Public Schools, New York City",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Public Schools, New York City""",v0_10_recovery_run,direct_set
v0_10_77,2025-06-27T13:04:34.065663,NYC_GOID_000143,New York City Public Schools,AlternateOrFormerNames,,Department of Education; NYC Public Schools,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Department of Education; NYC Public Schools""",v0_10_recovery_run,direct_set
v0_10_78,2025-06-27T13:04:34.065872,NYC_GOID_000144,Department of Environment Protection,Name,Department of Environment Protection,Department of Environmental Protection,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Department of Environmental Protection""",v0_10_recovery_run,direct_set
v0_10_79,2025-06-27T13:04:34.066195,NYC_GOID_000144,Department of Environmental Protection,NameAlphabetized,"Environmental Protection, Department of","Environmental Protection, Department of",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Environmental Protection, Department of""",v0_10_recovery_run,direct_set
v0_10_80,2025-06-27T13:04:34.066440,NYC_GOID_000151,Department of Records and Information Service,Name,Department of Records and Information Service,Department of Records and Information Services,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Department of Records and Information Services""",v0_10_recovery_run,direct_set
v0_10_81,2025-06-27T13:04:34.066673,NYC_GOID_000151,Department of Records and Information Services,NameAlphabetized,"Records and Information Services, Department of","Records and Information Services, Department of",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Records and Information Services, Department of""",v0_10_recovery_run,direct_set
v0_10_82,2025-06-27T13:04:34.066885,NYC_GOID_000152,Department of Sanitation,Name,Department of Sanitation,New York City Department of Sanitation,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""New York City Department of Sanitation""",v0_10_recovery_run,direct_set
v0_10_83,2025-06-27T13:04:34.067109,NYC_GOID_000152,New York City Department of Sanitation,NameAlphabetized,"Sanitation, Department of","Sanitation, New York City Department of Sanitation",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Sanitation, New York City Department of Sanitation""",v0_10_recovery_run,direct_set
v0_10_84,2025-06-27T13:04:34.067335,NYC_GOID_000152,New York City Department of Sanitation,AlternateOrFormerNames,,Department of Sanitation; NYC Sanitation,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Department of Sanitation; NYC Sanitation""",v0_10_recovery_run,direct_set
v0_10_85,2025-06-27T13:04:34.067545,NYC_GOID_000157,Department of Transportation,Name,Department of Transportation,New York City Department of Transportation,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""New York City Department of Transportation""",v0_10_recovery_run,direct_set
v0_10_86,2025-06-27T13:04:34.067782,NYC_GOID_000157,New York City Department of Transportation,NameAlphabetized,"Transportation, Department of","Transportation, New York City Department of",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Transportation, New York City Department of""",v0_10_recovery_run,direct_set
v0_10_87,2025-06-27T13:04:34.068007,NYC_GOID_000157,New York City Department of Transportation,AlternateOrFormerNames,,Department of Transportation,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Department of Transportation""",v0_10_recovery_run,direct_set
v0_10_88,2025-06-27T13:04:34.068216,NYC_GOID_000238,Law Department,Name,Law Department,New York City Law Department,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""New York City Law Department""",v0_10_recovery_run,direct_set
v0_10_89,2025-06-27T13:04:34.068443,NYC_GOID_000238,New York City Law Department,NameAlphabetized,Law Department,"Law Department, New York City",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Law Department, New York City""",v0_10_recovery_run,direct_set
v0_10_90,2025-06-27T13:04:34.068669,NYC_GOID_000238,New York City Law Department,AlternateOrFormerNames,,Law Department; Office of the Corporation Counsel,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Law Department; Office of the Corporation Counsel""",v0_10_recovery_run,direct_set
v0_10_91,2025-06-27T13:04:34.068882,NYC_GOID_000315,NYC Emergency Management,Name,NYC Emergency Management,New York City Emergency Management,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""New York City Emergency Management""",v0_10_recovery_run,direct_set
v0_10_92,2025-06-27T13:04:34.069111,NYC_GOID_000315,New York City Emergency Management,NameAlphabetized,"Emergency Management, NYC","Emergency Management, New York City",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Emergency Management, New York City""",v0_10_recovery_run,direct_set
v0_10_93,2025-06-27T13:04:34.069337,NYC_GOID_000315,New York City Emergency Management,AlternateOrFormerNames,Emergency Management Department;New York City Office of Emergency Management,NYC Emergency Management; Office of Emergency Management,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""NYC Emergency Management; Office of Emergency Management""",v0_10_recovery_run,direct_set
v0_10_94,2025-06-27T13:04:34.069546,NYC_GOID_100020,Office of Inspector General for the NYPD,Name,Office of Inspector General for the NYPD,Office of the Inspector General for the NYPD,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Office of the Inspector General for the NYPD""",v0_10_recovery_run,direct_set
v0_10_95,2025-06-27T13:04:34.069780,NYC_GOID_100020,Office of the Inspector General for the NYPD,NameAlphabetized,"Inspector General for the NYPD, Office of","Inspector General for the NYPD, Office of the",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Inspector General for the NYPD, Office of the""",v0_10_recovery_run,direct_set
v0_10_96,2025-06-27T13:04:34.069996,NYC_GOID_100020,Office of the Inspector General for the NYPD,Acronym,OIGNYPD,OIG-NYPD,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""OIG-NYPD""",v0_10_recovery_run,direct_set
v0_10_97,2025-06-27T13:04:34.070219,NYC_GOID_100020,Office of the Inspector General for the NYPD,AlternateOrFormerAcronyms,,OIGNYPD,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""OIGNYPD""",v0_10_recovery_run,direct_set
v0_10_98,2025-06-27T13:04:34.070442,NYC_GOID_100020,Office of the Inspector General for the NYPD,ReportsTo,,Department of Investigation,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Department of Investigation""",v0_10_recovery_run,direct_set
v0_10_99,2025-06-27T13:04:34.070648,NYC_GOID_100024,Tax Commission,Name,Tax Commission,New York City Tax Commission,NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""New York City Tax Commission""",v0_10_recovery_run,direct_set
v0_10_100,2025-06-27T13:04:34.070871,NYC_GOID_100024,New York City Tax Commission,NameAlphabetized,Tax Commission,"Tax Commission, New York City",NYCGO_v0_9_Edits_to_Implement.csv,"Set to ""Tax Commission, New York City""",v0_10_recovery_run,direct_set
