record_id,name,name_alphabetized,operational_status,organization_type,description,url,alternate_or_former_names,acronym,alternate_or_former_acronyms,budget_code,open_datasets_url,founding_year,principal_officer_first_name,principal_officer_last_name,principal_officer_title,principal_officer_contact_url,in_org_chart,reports_to
NYC_GOID_000109,Commission to Combat Police Corruption,"Combat Police Corruption, Commission to",Active,Advisory or Regulatory Organization,"The Commission to Combat Police Corruption was created in 1995 as a permanent board to monitor and evaluate the anti-corruption programs, activities, commitment, and efforts of the New York City Police Department, and is completely independent of the NYPD.",https://www.nyc.gov/site/ccpc/index.page,,CCPC,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Commission+to+Combat+Police+Corruption+%28CCPC%29,1995.0,Kathy,Chin,Acting Chair,https://www.nyc.gov/site/ccpc/about/email-the-chairperson.page,True,Chief Counsel to the Mayor and City Hall
NYC_GOID_000111,Commission on Gender Equity,"Gender Equity, Commission on",Active,Advisory or Regulatory Organization,"Mayor de Blasio established New York City's Commission on Gender Equity (CGE) through Executive Order Number 10. This Commission is an advisory body that supports City agencies in dismantling institutional barriers for women and girls regardless of race, ethnicity, class, gender identity and sexual orientation and helps achieve the Mayor's commitment to reduce gender-based inequity.",https://www.nyc.gov/content/genderequity/pages/,,CGE,,,,2015.0,Jacqueline,Ebanks,Executive Director,https://www.nyc.gov/site/genderequity/contact/contact.page,True,Deputy Mayor for Strategic Initiatives
NYC_GOID_000117,Mayor's Community Affairs Unit,"Community Affairs Unit, Mayor's",Active,Division,The Community Affairs Unit works with neighborhood groups and City Agencies to improve the quality of life in NYC by delivering services more efficiently.,https://www.nyc.gov/site/cau/index.page,,CAU,,2.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Mayor%27s+Community+Affairs+Unit+%28CAU%29,2011.0,Fred,Kreizman,Commissioner,https://www.nyc.gov/site/cau/connected/contact-cau.page,True,Office of Engagement
NYC_GOID_000123,Comptroller,"Comptroller, Office of the",Active,Elected Office,"The Comptroller is responsible for conducting performance and financial audits of all City agencies; serving as a fiduciary to the City's five public pension funds totaling nearly $140 billion in assets; providing comprehensive oversight of the City's budget and fiscal condition; reviewing City contracts for integrity, accountability and fiscal compliance; managing the fair, efficient and effective resolution of claims; ensuring transparency and accountability in the prevailing wage rate-setting process and vigorously enforcing prevailing wage and living wage laws; and promoting innovative policies that enhance City government's efficiency, integrity and performance for all New Yorkers.",https://comptroller.nyc.gov/,,,,15.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Office+of+the+Comptroller+%28COMPTROLLER%29,1803.0,Brad,Lander,Comptroller,https://comptroller.nyc.gov/about/contact-our-office/,True,The People of the City of New York
NYC_GOID_000124,Conflicts of Interest Board,Conflicts of Interest Board,Active,Advisory or Regulatory Organization,The Conflicts of Interest Board administers the City's conflicts of interest and financial disclosure laws.,https://www.nyc.gov/site/coib/index.page,,COIB,,312.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Conflicts+of+Interest+Board+%28COIB%29,1989.0,Carolyn,Miller,Executive Director,https://www.nyc.gov/site/coib/contact/email-the-executive-director.page,True,Chief Counsel to the Mayor and City Hall
NYC_GOID_000128,Chief Counsel to the Mayor and City Hall,Chief Counsel to the Mayor and City Hall,Active,Mayoral Office,"The Counsel to the Mayor and City Hall advises the Mayor on legal matters involving City Hall and the executive staff, as well as provide counsel to the Mayor on legal aspects of policy and administrative matters.",https://www1.nyc.gov/site/counseltothemayor/index.page,Office of the Chief Counsel to the Mayor,,,2.0,,1665.0,Allison,Stoddart,Chief Counsel to the Mayor and City Hall,https://www.nyc.gov/office-of-the-mayor/mayor-contact.page,True,Mayor's Office
NYC_GOID_000135,Department for the Aging,"Aging, Department for the",Active,Mayoral Agency,"NYC Aging funds community-based organizations throughout the five boroughs to provided essential services for seniors, including hot meals and activities at senior centers, home-delivered meals, case management, home care, transportation, legal services and caregiver services.",https://www.nyc.gov/site/dfta/index.page,,NYC AGING,DFTA,125.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+for+the+Aging+%28NYC Aging%29,1973.0,Lorraine,Cortés-Vázquez,Commissioner,https://www.nyc.gov/site/dfta/about/email-the-commissioner.page,True,Deputy Mayor for Health and Human Services
NYC_GOID_000136,Department of Buildings,"Buildings, Department of",Active,Mayoral Agency,"The Department of Buildings (DOB) ensures the safe and lawful use of over 900,000 buildings and properties by enforcing the Building Code, Zoning Resolution, and other applicable laws. Each year it reviews over 60,000 construction plans, issues over 110,000 new and renewed permits, performs over 300,000 inspections, and issues 12 types of licenses, registrations, and certificates. It facilitates construction by continually streamlining the permit application process, and delivers services with integrity and professionalism.",https://www.nyc.gov/site/buildings/index.page,,DOB,,810.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Buildings+%28DOB%29,1892.0,Jimmy,Oddo,Commissioner,https://www.nyc.gov/assets/home/mail/html/maildob.html,True,Deputy Mayor for Operations
NYC_GOID_000137,Department of City Planning,"City Planning, Department of",Active,Mayoral Agency,"The Department of City Planning (DCP) oversees land use planning for New York City, utilizing zoning regulations to promote strategic growth and sustainable communities throughout the five boroughs.",https://www.nyc.gov/site/planning/index.page,,DCP,,30.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+City+Planning+%28DCP%29,1938.0,Daniel,Garodnick,Director,https://www.nyc.gov/site/planning/about/email-the-director.page,True,Deputy Mayor of Housing Economic and Workforce Development
NYC_GOID_000138,Department of Citywide Administrative Services,"Citywide Administrative Services, Department of",Active,Mayoral Agency,,https://www.nyc.gov/site/dcas/index.page,,DCAS,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Citywide+Administrative+Services+%28DCAS%29,1996.0,Louis,Molina,,https://www.nyc.gov/nyc-resources/mail/dcas-email-the-commissioner.page,True,Deputy Mayor for Administration and Chief of Staff
NYC_GOID_000139,Department of Consumer and Worker Protection,"Consumer and Worker Protection, Department of",Active,Mayoral Agency,The NYC Department of Consumer and Worker Protection (DCWP)'formerly the Department of Consumer Affairs (DCA)'protects and enhances the daily economic lives of New Yorkers to create thriving communities.,https://www.nyc.gov/site/dca/index.page,Department of Consumer Affairs,DCWP,DCA,866.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Consumer+and+Worker+Protection+%28DCWP%29,1969.0,Vilda,Mayuga,Commissioner,https://www.nyc.gov/site/dca/about/email-the-commissioner.page,True,Deputy Mayor of Housing Economic and Workforce Development
NYC_GOID_000140,Department of Correction,"Correction, Department of",Active,Mayoral Agency,"The Department of Correction operates ten jails on Rikers Island and additional facilities and court pens throughout the city.  It houses an average daily population of approximately 12,500 inmates.",https://www.nyc.gov/site/doc/index.page,,DOC,,72.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Correction+%28DOC%29,1895.0,Lynelle,Maginley-Liddie,Commissioner,https://www.nyc.gov/site/doc/about/contact-the-commissioner.page,True,Deputy Mayor for Public Safety
NYC_GOID_000141,Department of Cultural Affairs,"Cultural Affairs, Department of",Active,Mayoral Agency,"The Department of Cultural Affairs (DCLA) ensures that cultural activities are an integral part of New York City's civic and economic life by providing support, advocacy and technical assistance for the City's cultural community. DCLA's constituency consists of the 34 City-owned cultural institutions comprising the Cultural Institutions Group (CIG) and more than 1,500 other not-for-profit organizations serving constituencies in all neighborhoods of the City. DCLA also provides donated materials for arts programs offered by the public schools and cultural and social service groups, and commissions works of public art at Cityfunded construction projects throughout the City.",https://www.nyc.gov/site/dcla/index.page,,DCLA,,126.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Cultural+Affairs+%28DCLA%29,1962.0,Laurie,Cumbo,Commissioner,https://www.nyc.gov/site/dcla/about/email-the-commissioner.page,True,Deputy Mayor of Housing Economic and Workforce Development
NYC_GOID_000142,Department of Design and Construction,"Design and Construction, Department of",Active,Mayoral Agency,"The Department of Design and Construction (DDC) currently manages a design and construction portfolio of over $4.6 billion of the City's capital construction projects. Projects range from streets, highways, sewers and water mains to public safety, health and human service facilities, as well as cultural institutions and libraries. Through a combination of in-house staff and private consultants and contractors, the Department delivers quality, cost-effective projects in a safe and efficient manner.",https://www.nyc.gov/site/ddc/index.page,,DDC,,850.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Design+and+Construction+%28DDC%29,1996.0,Thomas,Foley,Commissioner,https://www.nyc.gov/site/ddc/about/contact-form.page?recipient=Thomas%20Foley,True,Deputy Mayor for Operations
NYC_GOID_000143,Department of Education,"Education, Department of",Active,Mayoral Agency,"The New York City Department of Education is the largest system of public schools in the United States, serving about 1.1 million students in over 1,700 schools.",https://www.schools.nyc.gov/,,DOE,,40.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Education+%28DOE%29,1847.0,Melissa,Ramos,Chancellor,https://www.schools.nyc.gov/get-help,True,Mayor's Office
NYC_GOID_000144,Department of Environment Protection,"Environmental Protection, Department of",Active,Mayoral Agency,"The NYC DEP protects public health and the environment by supplying clean drinking water, collecting and treating wastewater, and reducing air, noise, and hazardous substances pollution.",https://www.nyc.gov/site/dep/index.page,,DEP,,826.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Environmental+Protection+%28DEP%29,1977.0,Rohit,Aggarwala,Commissioner,https://www.nyc.gov/nyc-resources/mail/dep-email-the-commissioner.page,True,Deputy Mayor for Operations
NYC_GOID_000145,Department of Finance,"Finance, Department of",Active,Mayoral Agency,"We collect revenue, value property, record property documents, administer tax benefits, adjudicate parking tickets, advise the Mayor on pension issues, and are the chief civil law enforcement officer.",https://www.nyc.gov/site/finance/index.page,,DOF,,836.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Finance+%28DOF%29,,Preston,Niblack,Commissioner,https://www.nyc.gov/site/finance/about/contact-by-email/contact-us-general-correspondence.page,True,First Deputy Mayor
NYC_GOID_000146,Department of Health and Mental Hygiene,"Health and Mental Hygiene, Department of",Active,Mayoral Agency,The Department of Health and Mental Hygiene (DOHMH) protects and promotes the health and mental well being of all New Yorkers.,https://www.nyc.gov/site/doh/index.page,NYC Health;Health Department,DOHMH,DOH,816.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Health+and+Mental+Hygiene+%28DOHMH%29,1870.0,Michelle,Morse,Commissioner,https://www.nyc.gov/assets/home/mail/html/maildoh.html,True,Deputy Mayor for Health and Human Services
NYC_GOID_000148,Department of Investigation,"Investigation, Department of",Active,Mayoral Agency,"DOI is NYC's watchdog, exposing and stopping corruption, and referring for prosecution City employees, contractors, and others who engage in fraudulent activities against the City and its taxpayers.",http://www.nyc.gov/doi,,DOI,,32.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Investigation+%28DOI%29,1873.0,Jocelyn,Strauber,Commissioner,https://www.nyc.gov/site/doi/contact/contact-doi.page,True,Mayor's Office
NYC_GOID_000149,Department of Parks and Recreation,"Parks and Recreation, Department of",Active,Mayoral Agency,"We oversee parks, athletic fields, playgrounds, public pools, golf courses, and beaches. We look after 650,000 street trees, and are providers of recreational and athletic facilities and programs.",https://www.nycgovparks.org/,NYC Parks,DPR,Parks,846.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Parks+and+Recreation+%28DPR%29,1934.0,Sue,Donoghue,Commissioner,https://www.nyc.gov/assets/home/mail/html/maildpr.html,True,Deputy Mayor for Operations
NYC_GOID_000150,Department of Probation,"Probation, Department of",Active,Mayoral Agency,"DOP helps build stronger and safer communities by expanding opportunities for probation clients to seek meaningful education, employment, health services, family engagement and civic participation.",https://www.nyc.gov/site/probation/index.page,,DOP,,781.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Probation+%28DOP%29,1974.0,Juanita,Holmes,Commissioner,https://www.nyc.gov/nyc-resources/mail/dop-email-the-commissioner.page,True,Deputy Mayor for Public Safety
NYC_GOID_000151,Department of Records and Information Service,"Records and Information Services, Department of",Active,Mayoral Agency,"The Department of Records and Information Services preserves and maintains the City's records and publications through the Municipal Archives, the Municipal Records Management Division, and the City Hall Library. The Department currently responds to more than 65,000 requests annually and provides the public and City agencies access to approximately 160,000 cubic feet of historically valuable City records and photos, and a unique collection of nearly 260,000 books, official government reports, studies and other publications. Through its Web site, the Department also provides electronic access to official reports issued by New York City government agencies.",https://www.nyc.gov/site/records/index.page,,DORIS,DoRIS,860.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Records+and+Information+Services+%28DORIS%29,1977.0,Pauline,Toole,Commissioner,https://www.nyc.gov/site/records/about/email-the-commissioner.page,True,Chief Counsel to the Mayor and City Hall
NYC_GOID_000152,Department of Sanitation,"Sanitation, Department of",Active,Mayoral Agency,"DSNY manages NYC's municipal and residential solid waste, both refuse and recyclables; clears snow & ice; cleans vacant lots, enforces sanitation laws and removes abandoned vehicles from city streets.",https://www.nyc.gov/site/dsny/index.page,,DSNY,,827.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Sanitation+%28DSNY%29,1881.0,Javier,Lojan,Commissioner,https://www.nyc.gov/site/dsny/about/contact.page,True,Deputy Mayor for Operations
NYC_GOID_000153,Department of Small Business Services,"Small Business Services, Department of",Active,Mayoral Agency,"SBS makes it easier for businesses to start, operate and grow by providing direct assistance to business owners, linking employers to a qualified workforce, and fostering neighborhood development.",https://www.nyc.gov/site/sbs/index.page,,SBS,,801.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Small+Business+Services+%28SBS%29,1980.0,Dynishal,Gross,Commissioner,https://www.nyc.gov/site/sbs/about/email-the-commissioner.page,True,Deputy Mayor of Housing Economic and Workforce Development
NYC_GOID_000154,Department of Social Services,"Social Services, Department of",Active,Mayoral Agency,The Department of Social Services (DSS) is comprised of the administrative units of the NYC Human Resources Administration (HRA) and the Department of Homeless Services (DHS).,https://www.nyc.gov/site/dss/index.page,,DSS,,69.0,,2019.0,Molly,Park,Commissioner,https://www.nyc.gov/assets/home/mail/html/mailhra.html,True,Deputy Mayor for Health and Human Services
NYC_GOID_000155,Department of Homeless Services,"Homeless Services, Department of",Active,Division,"The mission of the Department of Homeless Services (DHS) is to prevent homelessness when possible and to provide short-term, emergency shelter for individuals and families who have no other housing options available.",https://www.nyc.gov/site/dhs/index.page,,DHS,,71.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Homeless+Services+%28DHS%29,1993.0,Joslyn,Carter,Administrator,https://www.nyc.gov/assets/home/mail/html/maildhs.html,True,Department of Social Services
NYC_GOID_000156,Human Resources Administration,Human Resources Administration,Active,Division,HRA works to end poverty and income inequality in New York City by connecting New Yorkers in need with a variety of essential services such as Food Stamps and Cash Assistance.,https://www.nyc.gov/site/hra/index.page,,HRA,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Human+Resources+Administration+%28HRA%29,1966.0,Scott,French,Commissioner,https://www.nyc.gov/assets/home/mail/html/mailhra.html,True,Department of Social Services
NYC_GOID_000157,Department of Transportation,"Transportation, Department of",Active,Mayoral Agency,"DOT provides for the safe and efficient movement of people and goods in New York City. The agency maintains bridges, tunnels, streets, sidewalks and bike lanes, and operates the Staten Island Ferry.",https://www.nyc.gov/html/dot/html/home/home.shtml,,NYC DOT,DOT,841.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Transportation+%28DOT%29,1977.0,Ydanis,Rodriguez,Commissioner,https://www.nyc.gov/html/dot/html/contact/contact-form.shtml,True,Deputy Mayor for Operations
NYC_GOID_000158,Department of Veterans' Services,"Veterans' Services, Department of",Active,Mayoral Agency,The Department of Veterans' Services advises the Mayor on issues and projects impacting the veterans' community.,https://www.nyc.gov/site/veterans/index.page,,DVS,,63.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Veterans%27+Services+%28DVS%29,1945.0,James,Hendon,Commissioner,https://www.nyc.gov/site/veterans/contact/contact.page,True,Deputy Mayor for Health and Human Services
NYC_GOID_000159,Department of Youth and Community Development,"Youth and Community Development, Department of",Active,Mayoral Agency,"The Department of Youth and Community Development (DYCD) was created in 1996 to provide the City of New York with high-quality youth and family programming. Our central task is administering available City, state, and federal funds to effective community-based organizations.",https://www.nyc.gov/site/dycd/index.page,,DYCD,,260.0,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Youth+and+Community+Development+%28DYCD%29,1996.0,Keith,Howard,Commissioner,https://www.nyc.gov/site/dycd/about/contact/email-the-commissioner.page,True,Deputy Mayor for Strategic Initiatives
NYC_GOID_000161,Deputy Mayor for Health and Human Services,"Health and Human Services, Deputy Mayor for",Active,Mayoral Office,,,,DMHHS,,,,2022.0,Suzanne,Miles-Gustave,Deputy Mayor for Health and Human Services,,True,First Deputy Mayor
NYC_GOID_000162,Deputy Mayor of Housing Economic and Workforce Development,"Housing, Economic Development and Workforce, Deputy Mayor for",Active,Mayoral Office,,,,DMEWD,,,,2021.0,Adolfo,Carrión,Deputy Mayor for Economic and Workforce Development,,True,First Deputy Mayor
NYC_GOID_000163,Deputy Mayor for Operations,"Operations, Deputy Mayor for",Active,Mayoral Office,,,,DMOPS,,,,1977.0,Jeffrey,Roth,Deputy Mayor for Operations,,True,First Deputy Mayor
NYC_GOID_000164,Deputy Mayor for Public Safety,"Public Safety, Deputy Mayor for",Active,Mayoral Office,,,,DMPS,,,,1990.0,Kaz,Daughtry,Deputy Mayor for Public Safety,,True,Mayor's Office
NYC_GOID_000165,Deputy Mayor for Strategic Initiatives,"Strategic Initiatives, Deputy Mayor for",Active,Mayoral Office,,,,DMSI,,,,2014.0,Ana,Almanzar,Deputy Mayor for Strategic Initiatives,,True,First Deputy Mayor
NYC_GOID_000166,Deputy Mayor for Communications,"Communications, Deputy Mayor for",Active,Mayoral Office,,,,,,,,2023,Fabien,Levy,Deputy Mayor for Communications,,True,Mayor's Office
NYC_GOID_000168,Bronx County District Attorney's Office,District Attorney - Bronx County,Active,Elected Office,,https://www.bronxda.nyc.gov/html/home/home.shtml,,,,,,,Darcel,Clark,,https://www.bronxda.nyc.gov/html/contact/contact.shtml,True,The People of the City of New York
NYC_GOID_000169,Brooklyn District Attorney's Office,District Attorney - Brooklyn,Active,Elected Office,,http://www.brooklynda.org/,District Attorney - Kings County,,,,,,Eric,Gonzalez,District Attorney,http://brooklynda.org/das-action-center/,True,The People of the City of New York
NYC_GOID_000170,Manhattan District Attorney's Office,District Attorney - Manhattan,Active,Elected Office,,https://manhattanda.org/,District Attorney - New York County,,,,,,Alvin,Bragg,District Attorney,https://manhattanda.org/contact-us/,True,The People of the City of New York
NYC_GOID_000171,Queens District Attorney's Office,District Attorney - Queens County,Active,Elected Office,,https://queensda.org/,,,,,,,Melinda,Katz,,https://queensda.org/contact-us/,True,The People of the City of New York
NYC_GOID_000172,Office of the District Attorney Richmond County,District Attorney - Richmond County,Active,Elected Office,,https://www.statenislandda.org/,District Attorney - Staten Island,,,,,,Michael,McMahon,District Attorney,https://www.statenislandda.org/contact/,True,The People of the City of New York
