gap_type,priority,action_needed,moa_entity_name,moa_url,moa_description,nycgo_record_id,nycgo_name,nycgo_org_type,similarity_score,match_confidence,notes
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000164,Deputy Mayor for Public Safety,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000165,Deputy Mayor for Strategic Initiatives,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000166,Deputy Mayor for Communications,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000179,Economic Development Corporation Life Sciences Advisory Council,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000193,First Deputy Mayor,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000201,Get Stuff Built Advisory Board,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000205,Green Economy Advisory Council,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000210,Hardship Appeals Panel,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000217,Mayor's Office of Housing Recovery Operations,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000222,Independent Budget Office,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000223,Independent Budget Office Advisory Committee,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000225,Interagency Coordinating Council,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000226,Office of Intergovernmental Affairs,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000233,Juvenile Justice Advisory Board,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000244,Mayor's Advance Team,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000246,Deputy Mayor for Administration and Chief of Staff,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000252,Mayor's Office for Economic Opportunity,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000253,Mayor's Office to End Domestic and Gender-Based Violence,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000255,Mayor's Office for International Affairs,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000256,Mayor's Office of Media and Research Analysis,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000257,Mayor's Office for Nonprofit Services,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000258,Mayor's Office of Administrative Services,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000260,Mayor's Office of Appointments,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000261,Mayor's Office of Citywide Events Coordination and Management,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000262,Mayor's Office of Climate and Environmental Justice,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000264,Mayor's Office of Contract Services,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000265,Mayor's Office of Correspondence,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000266,Mayor's Office of Criminal Justice,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000267,Mayor's Office of Equity and Racial Justice,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000268,Mayor's Office of Ethnic and Community Media,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000269,Mayor's Office of Food Policy,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000270,Mayor's Office of Immigrant Affairs,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000271,Mayor's Office of Media and Entertainment,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000272,Mayor's Office of Minority and Women-Owned Business Enterprises,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000274,Mayor's Office of Operations,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000275,Mayor's Office of Pensions and Investments,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000276,Mayor's Office of Policy and Planning,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000277,Mayor's Office of Special Enforcement,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000278,Mayor's Office of Special Projects and Community Events,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000279,"Mayor's Office of Sports, Wellness and Recreation",Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000280,Mayor's Office of Strategic Partnerships,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000281,Mayor's Office of Talent and Workforce Development,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000283,Mayor's Office of Youth Employment,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000284,Mayor's Office for People with Disabilities,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000286,Mayor's Office to Protect Tenants,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000287,Mayor's Office of Risk Management and Compliance,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000288,Mayor's Office - Senior Advisor and Director of Public Service Engagement,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000290,Mayor's Office - Senior Advisor to the Mayor,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000291,Mayor's Office of Speechwriting,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000292,Mayor's Press Office,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000298,Mayor's Office of the Utility Consumer Advocate,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000303,Municipal Division of Transitional Services,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000306,Mayor's Office of Municipal Services Assessment,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000309,MWBE Advisory Board,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000312,New York City Children's Cabinet,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000314,New York City Districting Commission,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000332,New York City Watershed Protection and Partnership Council,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000338,Nonprofit Advisory Council,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000343,New York City Office of the Actuary,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000344,Office of the Administrative Justice Coordinator,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000347,Office of Asylum Seeker Operations,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000349,Office of Capital Project Development,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000351,Mayor's Office for Childcare and Early Childhood Education,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000356,Mayor's Office of Community Mental Health,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000361,Mayor's Office of Innovation and Emerging Markets,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000362,Mayor's Office of Civic Engagement,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000363,Mayor's Office of Environmental Coordination,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000364,Mayor's Office of Environmental Remediation,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000367,Office of Healthcare Accountability,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000371,Office of Labor Relations,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000374,Mayor's Office of Management and Budget,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000380,Office of Scheduling and Executive Operations,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000382,Office of Technology and Innovation,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000385,Mayor's Office for Prevention of Hate Crimes,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000388,Pay Equity Cabinet,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000399,Office of the Public Realm,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000425,Special Commissioner of Investigation for the New York City School District,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000428,Street Harassment Prevention Advisory Board,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000433,Taskforce on Racial Inclusion and Equity,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000443,Three Quarter Housing Task Force,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000456,Veterans Advisory Board,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000462,Workforce Development Council,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000468,New York City Young Men's Initiative,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000471,Mayor's Office - Senior Adviser to the Mayor and Director of Scheduling,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000472,Mayor's Office - Senior Adviser for Severe Mental Illness,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_000474,Director of Rodent Mitigation,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_100001,Borough Boards,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_100007,Director of Communications,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_100008,Office of Creative Communications,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_100019,Mayor's Office of Faith-Based and Community Partnerships,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_100018,Mayor's Office to Prevent Gun Violence,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_100029,Office Conversion Accelerator,Mayoral Office,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_100023,Tax Appeals Tribunal,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,high,verify_if_should_be_in_moa,,,,NYC_GOID_100024,New York City Tax Commission,Advisory or Regulatory Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000000,NYC311,Division,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000002,Administration for Children's Services,Mayoral Agency,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000012,Animal Care Centers of NYC,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000015,Association for a Better New York,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000026,Office of the Borough President of The Bronx,Elected Office,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000027,Office of the Borough President of Brooklyn,Elected Office,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000028,Office of the Borough President of Manhattan,Elected Office,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000029,Office of the Borough President of Queens,Elected Office,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000030,Office of the Borough President of Staten Island,Elected Office,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000045,Catskill Watershed Corporation,Public Benefit or Development Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000059,American Museum of Natural History,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000060,Bronx County Historical Society,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000061,Bronx Museum of the Arts,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000062,Brooklyn Academy of Music,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000063,Brooklyn Botanic Garden,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000064,Brooklyn Children's Museum,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000065,Brooklyn Museum,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000066,Carnegie Hall,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000067,El Museo del Barrio,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000068,Flushing Council on Culture and the Arts / Flushing Town Hall,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000069,Jamaica Center for Arts and Learning,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000070,Jazz at Lincoln Center,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000071,Lincoln Center Theater,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000072,Metropolitan Museum of Art,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000073,Museum of the City of New York,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000074,Museum of Jewish Heritage,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000075,Museum of Modern Art,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000076,Museum of the Moving Image,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000077,New York Botanical Garden,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000078,New York City Ballet,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000079,New York City Center,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000080,New York Hall of Science,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000081,MoMA PS1,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000082,Public Theater,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000083,Queens Botanical Garden,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000084,Queens Museum,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000085,Queens Theatre in the Park,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000086,Snug Harbor Cultural Center and Botanical Garden,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000087,Staten Island Children's Museum,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000088,Staten Island Historical Society,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000089,Staten Island Museum,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000090,Staten Island Zoological Society,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000091,Studio Museum in Harlem,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000092,Wave Hill,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000093,Weeksville Heritage Center,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000094,Wildlife Conservation Society,Nonprofit Organization,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000097,New York City Council,Elected Office,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000102,Civic Engagement Commission,Division,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000117,Mayor's Community Affairs Unit,Division,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000123,Office of the New York City Comptroller,Elected Office,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000135,Department for the Aging,Mayoral Agency,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000136,Department of Buildings,Mayoral Agency,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000137,Department of City Planning,Mayoral Agency,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000138,Department of Citywide Administrative Services,Mayoral Agency,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000139,Department of Consumer and Worker Protection,Mayoral Agency,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000140,Department of Correction,Mayoral Agency,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000141,Department of Cultural Affairs,Mayoral Agency,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000142,Department of Design and Construction,Mayoral Agency,0.0,n/a,
in_nycgo_not_moa,medium,verify_if_should_be_in_moa,,,,NYC_GOID_000143,New York City Public Schools,Mayoral Agency,0.0,n/a,
