entity_name,description,url,scraped_date,source_url
Brooklyn Bridge Park Corporation,"Announced in a press release on March 10, 2010 as the Brooklyn Bridge Park Operating Entity, the Brooklyn Bridge Park Corporation is responsible for the planning, construction, maintenance and operation of the 85-acre waterfront park.",https://www.brooklynbridgepark.org/about/,2025-11-15T18:09:50.705786,https://www.nyc.gov/content/appointments/pages/boards-commissions
Brooklyn Bridge Park Development Corporation - Board of Directors,"The Brooklyn Bridge Park Development Corporation is charged with the planning, design, and building of an 85-acre, 1.3-mile world-class, self-sustaining park. It connects the citizens of Brooklyn to their waterfront, replacing abandoned piers, parking lots and storage sheds with opportunities to play sports, stroll, or lounge at the water's edge.",https://esd.ny.gov/brooklyn-bridge-park-development-corporation-subsidiary,2025-11-15T18:09:50.705849,https://www.nyc.gov/content/appointments/pages/boards-commissions
Brooklyn Navy Yard Development Corp,"The Brooklyn Navy Yard Corporation operates the Navy Yard under a long-term lease with the City, and promotes urban renewal, employment, economic development including manufacturing and services. The 300-acre industrial park on the Brooklyn waterfront consists of more than 330 industrial tenants employing more than 6,400 people.",https://brooklynnavyyard.org/,2025-11-15T18:09:50.705913,https://www.nyc.gov/content/appointments/pages/boards-commissions
Brooklyn Public Library - Board of Trustees,The Brooklyn Public Library Board of Trustees oversees library management and determines library policies.,https://www.bklynlibrary.org/about/trustees,2025-11-15T18:09:50.705974,https://www.nyc.gov/content/appointments/pages/boards-commissions
Build NYC Resource Corporation,"Build NYC Resource Corporation, a local development corporation, is administered by NYCEDC and assists qualified projects in obtaining tax-exempt and taxable bond financing. As a conduit bond issuer, Build NYC's primary goal is to facilitate access to private activity tax-exempt bond financing for a variety of eligible borrowers to acquire, construct, renovate and/or equip their facilities.",https://edc.nyc/build-nyc,2025-11-15T18:09:50.706038,https://www.nyc.gov/content/appointments/pages/boards-commissions
Campaign Finance Board,The Campaign Finance Board provides public funding to candidates for City elective offices who choose to participate in the City's public financing program and monitors candidates' campaign contributions and expenditures to assure that they conform to the requirements of the law.,http://www.nyccfb.info/,2025-11-15T18:09:50.706101,https://www.nyc.gov/content/appointments/pages/boards-commissions
Central Park Conservancy - Board of Trustees,The Central Park Conservancy is a private not-for-profit organization founded in 1980 that manages Central Park under a contract with the New York City Department of Parks and Recreation.,https://www.centralparknyc.org/,2025-11-15T18:09:50.706163,https://www.nyc.gov/content/appointments/pages/boards-commissions
Child Fatality Review Advisory Team,"The Child Fatality Review Advisory Team (CFRAT) works to better understand unnatural deaths among children and to identify strategies for injury prevention. The CFRAT reviews aggregate data, not individual injury cases, and identifies trends and risk factors for injury-related deaths among NYC children.",,2025-11-15T18:09:50.706218,https://www.nyc.gov/content/appointments/pages/boards-commissions
City Planning Commission,"The City Planning Commission is responsible for the conduct of planning relating to the orderly growth and development of the City, including adequate and appropriate resources for the housing, business, industry, transportation, distribution, recreation, culture, comfort, convenience, health and welfare of its population.",https://www1.nyc.gov/site/planning/about/commission.page,2025-11-15T18:09:50.706281,https://www.nyc.gov/content/appointments/pages/boards-commissions
City University Construction Fund - Board of Trustees,The City University Construction Fund is the vehicle through which facilities are provided for senior and community colleges and graduate institutions of The City University of New York.,https://www.cuny.edu/about/administration/offices/fpcm/cucf/,2025-11-15T18:09:50.706344,https://www.nyc.gov/content/appointments/pages/boards-commissions
City University of New York - Board of Trustees,"The CUNY Board of Trustees is the governing board of the CUNY public higher education complex which spans the five boroughs and encompasses six community colleges, ten senior colleges, a technical college, a graduate school, a law school and a medical school.",https://www.cuny.edu/about/trustees/the-board-of-trustees/,2025-11-15T18:09:50.706408,https://www.nyc.gov/content/appointments/pages/boards-commissions
Civil Service Commission,"The Civil Service Commission (""CSC"") is an independent, ""quasi-judicial"" agency authorized to hear and decide appeals from determinations made under sections 50 and 76 of the New York State Civil Service Law. The mission of the New York City Civil Service Commission is to provide a fair and efficient forum for the adjudication of appeals and to assure that the treatment of civil service applicants and employees is consistent with civil service laws and the rules and regulations of the City of New York.",https://www1.nyc.gov/site/csc/index.page,2025-11-15T18:09:50.706476,https://www.nyc.gov/content/appointments/pages/boards-commissions
Civil Service Commission - Screening Committee,"The Civil Service Screening Committee submits to the Mayor a list of nominees, which shall include persons with knowledge or experience of the civil service system, or personnel management, or compensation practices, from which the Mayor shall make appointments to the City Civil Service Commission.",,2025-11-15T18:09:50.706530,https://www.nyc.gov/content/appointments/pages/boards-commissions
Civilian Complaint Review Board,"The New York City Civilian Complaint Review Board (CCRB) is an independent agency. It is empowered to receive, investigate, mediate, hear, make findings, and recommend action on complaints against New York City police officers alleging the use of excessive or unnecessary force, abuse of authority, discourtesy, or the use of offensive language.",https://www1.nyc.gov/site/ccrb/index.page,2025-11-15T18:09:50.706594,https://www.nyc.gov/content/appointments/pages/boards-commissions
Climate Change Adaptation Task Force,The Climate Change Adaptation Task Force is responsible for reviewing the climate change projections as recommended by the New York City Panel on Climate Change and advising the City on adaptation.,,2025-11-15T18:09:50.706649,https://www.nyc.gov/content/appointments/pages/boards-commissions
Commission on Gender Equity,"The Commission on Gender Equity will work to advance gender equity through public safety, economic mobility, and equality by focusing on the needs of women and girls, regardless of race, ethnicity, class, gender reassignment or sexual orientation.",,2025-11-15T18:09:50.706704,https://www.nyc.gov/content/appointments/pages/boards-commissions
Commission on Human Rights,"The Commission on Human Rights, the governing board of the city office, works to eliminate discrimination on the basis of race, color, creed, gender, marital status, age, sexual orientation and physical disability by enforcing laws against discrimination.",https://www1.nyc.gov/site/cchr/index.page,2025-11-15T18:09:50.706767,https://www.nyc.gov/content/appointments/pages/boards-commissions
Commission on Public Information and Communication,"In addition to publication of the Public Data Directory, the Commission on Public Information and Communication's responsibilities include education and outreach to assist the public in obtaining access to City information, and developing strategies for the use of new communications technologies to improve access to and distribution of city data.",,2025-11-15T18:09:50.706822,https://www.nyc.gov/content/appointments/pages/boards-commissions
Community Action Board - Dept. of Youth and Community Development,"The Community Action Board is a Citywide body that oversees community action initiatives under the federal Community Services Block Grant program. The CAB is comprised of 22 residents of low-income communities, 15 elected public officials, and eight representatives from the private sector.",https://www1.nyc.gov/site/dycd/involved/boards-and-councils/community-action-board.page,2025-11-15T18:09:50.706885,https://www.nyc.gov/content/appointments/pages/boards-commissions
Community Investment Advisory Board,The NYC Responsible Banking Act requires the establishment of a Community Investment Advisory Board (CIAB) to conduct an assessment of banking services needs throughout New York City and to evaluate the performance of the City's depository banks in meeting those needs.,,2025-11-15T18:09:50.706939,https://www.nyc.gov/content/appointments/pages/boards-commissions
Community Services Board (Mental Hygiene Advisory Board),"The Mental Hygiene Advisory Board advises the Commissioner of Health and Mental Hygiene on programs, services and facilities.",,2025-11-15T18:09:50.706993,https://www.nyc.gov/content/appointments/pages/boards-commissions
Conflicts of Interest Board,"The Conflicts of Interest Board is the independent New York City agency tasked with administering, enforcing and interpreting Chapter 68 of the New York City Charter, the City's Conflicts of Interest Law, and Section 12-110 of the Administrative Code, the City's Annual Disclosure Law.",https://www1.nyc.gov/site/coib/index.page,2025-11-15T18:09:50.707058,https://www.nyc.gov/content/appointments/pages/boards-commissions
Convention Center Development Corporation - Board of Directors,The Convention Center Development Corporation oversees the renovation and expansion of the Jacob K. Javits Convention Center.,https://esd.ny.gov/subsidiaries_projects/ccdc.html,2025-11-15T18:09:50.707122,https://www.nyc.gov/content/appointments/pages/boards-commissions
Convention Center Operation Corporation - Board of Directors,NYCCOC was established in 1979 to maintain and operate the Jacob K. Javits Convention Center. It will approve the plan and design of the convention center expansion project and the hotel to be financed by the Javits Convention Center Development Corporation.,,2025-11-15T18:09:50.707175,https://www.nyc.gov/content/appointments/pages/boards-commissions
Council for Airport Opportunity Board of Directors,"The Council for Airport Opportunity's mission is to identify and address the critical employment needs of the communities surrounding the New York/New Jersey metropolitan airports while responding to the hiring needs of airport tenants and the aviation industry.Since its inception in 1972, CAO has represented an effective partnership of the private and public sectors, fostering the coalescence of the aviation industry and the environs peripheralto the airports.",https://www.caonynj.com/,2025-11-15T18:09:50.707240,https://www.nyc.gov/content/appointments/pages/boards-commissions
Cultural Affairs Advisory Commission - Department of Cultural Affairs,The Cultural Affairs Advisory Commission advises the Mayor and Commissioner of Cultural Affairs on cultural activities in the city and organizes the Mayor's Awards of Honor for Art and Culture.,https://www1.nyc.gov/site/dcla/about/advisory-commission.page,2025-11-15T18:09:50.707302,https://www.nyc.gov/content/appointments/pages/boards-commissions
Cultural Institutions Representatives,"The Mayor may appoint representatives to the following Cultural Institutions: American Museum of Natural History, Bronx County Historical Society, Bronx Museum of the Arts, Brooklyn Academy of Music, Brooklyn Botanic Garden, Brooklyn Children's Museum, Brooklyn Museum, Carnegie Hall, David Koch Theatre - CCMD, El Museo Del Barrio, Flushing Town Hall/Council on the Arts, Jamaica Center for Arts and Learning, Lincoln Center for the Performing Arts, Metropolitan Museum of Art, Museum of Jewish Heritage, Museum of the City of New York, Museum of the Moving Image, New York Botanical Garden, New York City Center, New York Hall of Science, NYC Ballet, Ps. 1 Contemporary Art Center, Public Theater, Queens Botanical Garden, Queens Museum of Art, Queens Theatre in the Park, Snug Harbor Cultural Center & Botanical Garden, Staten Island Children's Museum, Staten Island Historical Society, Staten Island Museum, Staten Island Zoological Society, Studio Museum, Wave Hill, and Wildlife Conservation Society.",,2025-11-15T18:09:50.707358,https://www.nyc.gov/content/appointments/pages/boards-commissions
Deferred Compensation Board,"The Deferred Compensation Board serves as trustee of the Deferred Compensation Plan, and provides for the investment of funds pursuant to the Plan and for the administration of the Plan for the benefit of its participants.",https://www1.nyc.gov/site/olr/deferred/dcphome.page,2025-11-15T18:09:50.707420,https://www.nyc.gov/content/appointments/pages/boards-commissions
Domestic Violence Fatality Review Committee,"The Domestic Violence Fatality Review Committee examines information on domestic violence fatalities that occur in New York City, and forumlates recommendations to improve services and reduce domestic violence deaths.",,2025-11-15T18:09:50.707474,https://www.nyc.gov/content/appointments/pages/boards-commissions
Environmental Control Board,"The Environmental Control Board is a quasi-judicial body within the Office of Administrative Trials and Hearings that formulates policies and holds hearings for individuals and businesses that have received notices of violations from one of the City's enforcement agencies. These violations include public health and safety matters, illegal dumping and medical waste disposal, as well as quality of life violations such as street obstructions, dirty sidewalks, littering and illegal vending.",https://www1.nyc.gov/site/oath/hearings/hearing-online.page,2025-11-15T18:09:50.707538,https://www.nyc.gov/content/appointments/pages/boards-commissions
Equal Employment Practices Commission,"The Equal Employment Practices Commission is the independent monitor of the City of New York's employment practices.The Commission monitors and evaluates the employment programs, practices, and procedures of city agencies to ensure that they maintain effective equal employment opportunity (EEO) programs for all who are employed by or seek employment with New York City government.",https://www1.nyc.gov/site/eepc/index.page,2025-11-15T18:09:50.707602,https://www.nyc.gov/content/appointments/pages/boards-commissions
Financial Information Services - Board of Directors,"The board advises FISA, which is an information technology services agency responsible for providing City officials with Citywide financial, payroll and human resources information.",,2025-11-15T18:09:50.707656,https://www.nyc.gov/content/appointments/pages/boards-commissions
Fire Department Pension Fund Board,The Fire Department Pension Fund Board oversees and administers the FDNY pension fund and annuities.,,2025-11-15T18:09:50.707709,https://www.nyc.gov/content/appointments/pages/boards-commissions
Food Service Establishment Advisory Board,The Food Service Establishment Advisory Board advises the Commissioner of the Department of Health and Mental Hygiene on matters related to the food service establishment sanitary inspection program and its effects.,,2025-11-15T18:09:50.707762,https://www.nyc.gov/content/appointments/pages/boards-commissions
Franchise and Concession Review Committee,The Franchise and Concession Review Committee establishes procedures for granting concessions through public bidding or by other means designed to ensure a competitive and fair process.,https://www1.nyc.gov/site/mocs/reporting/about-franchises-concessions.page,2025-11-15T18:09:50.707823,https://www.nyc.gov/content/appointments/pages/boards-commissions
Governors Island Corp. / Trust for Governors Island,"The Trust for Governors Island is charged with the operations, planning and redevelopment of 150 acres of Governors Island. The Trust is transforming Governors Island into a destination with great public open space, as well as educational, not-for-profit, and commercial facilities.",https://www.govisland.com/,2025-11-15T18:09:50.707886,https://www.nyc.gov/content/appointments/pages/boards-commissions
GrowNYC,GrowNYC promotes environmental appreciation and concern among New Yorkers and develops solutions to the environmental problems of the city. Its Greenmarkets program organizes and manages farmers markets throughout the City.,https://www.grownyc.org/,2025-11-15T18:09:50.707948,https://www.nyc.gov/content/appointments/pages/boards-commissions
Health and Hospitals Corporation - Board of Directors,The Health and Hospitals Corporation adopts and monitors policies for the delivery of healthcare services for hospitals within its jurisdiction.,https://www.nychealthandhospitals.org/?nycGovRedirect,2025-11-15T18:09:50.708010,https://www.nyc.gov/content/appointments/pages/boards-commissions
HIV / AIDS Services Administration (HASA) Advisory Board,"HIV/AIDS services are administered by the HIV/AIDS Services Administration's (HASA) Board, part of HRA's Office of Special Services. HASA expedites access to essential benefits and social services needed by persons living with AIDS or clinical symptomatic HIV illness and their families.",,2025-11-15T18:09:50.708063,https://www.nyc.gov/content/appointments/pages/boards-commissions
HIV Health and Human Services Planning Council,"The HIV Health and Human Services Planning Council determines priorities for allocation of funds received through Title I of the Ryan White Comprehensive AIDS Resources Emergency (CARE) Act of 1990, and develops comprehensive plans for efficient organization and delivery of HIV/AIDS services.",,2025-11-15T18:09:50.708116,https://www.nyc.gov/content/appointments/pages/boards-commissions
Housing Development Corporation,The Housing Development Corporation is a public benefit corporation that encourages the investment of private capital through low-interest mortgage loans and provides safe and sanitary dwellings for families and persons whose housing needs cannot be met by unassisted private enterprise.,https://www.nychdc.com/,2025-11-15T18:09:50.708178,https://www.nyc.gov/content/appointments/pages/boards-commissions
Hudson River Park Trust - Board of Directors,"The Hudson River Park Trust is a public benefit corporation with authority over the planning, design, construction, operation and maintenance of the 550 acre Hudson River Park on the west side of Manhattan.",https://hudsonriverpark.org/about-us/hudson-river-park-trust/hudson-river-park-trust-board-of-directors/,2025-11-15T18:09:50.708241,https://www.nyc.gov/content/appointments/pages/boards-commissions
Hurricane Sandy Charitable Organizations and Houses of Worship Recovery Taskforce,The Hurricane Sandy Charitable Organizations and Houses of Worship Recovery Taskforce is charged with making recommendations to the Mayor and Council regarding the recovery and rebuilding of charitable organizations operating in areas of the city affected by Hurricane Sandy. It also makes recommendations regarding how best to prepare and utilize such organizations in future natural disasters.,,2025-11-15T18:09:50.708296,https://www.nyc.gov/content/appointments/pages/boards-commissions
Industrial Development Agency,The Industrial Development Agency encourages the expansion of local firms and relocation of non-local firms to New York City by offering below market rate financing.,https://edc.nyc/nycida,2025-11-15T18:09:50.708360,https://www.nyc.gov/content/appointments/pages/boards-commissions
"Jamaica Bay - Rockaway Parks Conservancy, Inc.","As part of the 2012 cooperative management agreement, Jamaica Bay - Rockaway Parks Conservancy was formed as a public-private partnership to help coordinate and advance the conservation, restoration, improvement, and resiliency of the public parklands and waterways at and surrounding Jamaica Bay, including the Rockaway Peninsula, for the enjoyment of present and future generations.",http://www.jbrpc.org/about/,2025-11-15T18:09:50.708427,https://www.nyc.gov/content/appointments/pages/boards-commissions
Landmarks Preservation Commission,"The Landmarks Preservation Commission designates, preserves and monitors landmarks and historic districts in New York City.",https://www1.nyc.gov/site/lpc/index.page,2025-11-15T18:09:50.708490,https://www.nyc.gov/content/appointments/pages/boards-commissions
Latin Media and Entertainment Commission,The Latin Media and Entertainment Commission works with the Mayor's Office to create and execute a strategy to position New York City as a global capital for the Latin media and entertainment industry.,,2025-11-15T18:09:50.708545,https://www.nyc.gov/content/appointments/pages/boards-commissions
Loft Board,The Loft Board oversees the legislation and regulation of loft buildings which have been converted to residential use.,https://www1.nyc.gov/site/loftboard/index.page,2025-11-15T18:09:50.708609,https://www.nyc.gov/content/appointments/pages/boards-commissions
Lower Manhattan Development Corporation,The Lower Manhattan Development Corporation is a joint State-City corporation formed by the Governor and Mayor to oversee the rebuilding and revitalization of Lower Manhattan.,http://www.renewnyc.com/,2025-11-15T18:09:50.708672,https://www.nyc.gov/content/appointments/pages/boards-commissions
Mayor's Advisory Committee on the Judiciary,"The Mayor's Advisory Committee on the Judiciary submits recommendations to the Mayor for judicial appointments to Criminal Court, Family Court, and for interim appointments to Civil Court.",https://www1.nyc.gov/site/macj/index.page,2025-11-15T18:09:50.708734,https://www.nyc.gov/content/appointments/pages/boards-commissions
Mayor's Committee on City Marshals,The Mayor's Committee on Marshals' four functions are to (1) establish and publish qualifying criteria for appointment to the office of City Marshal; (2) recruit and receive alphabetStarts of candidates for that office; (3) determine which of the qualified candidates are best qualified to serve as City Marshals; and (4) recommend to the Mayor up to 3 qualified persons for appointment to the office of City Marshal upon the occurrence of a vacancy.,https://www1.nyc.gov/site/marshals/index.page,2025-11-15T18:09:50.708799,https://www.nyc.gov/content/appointments/pages/boards-commissions
Mayor's Fund to Advance New York,"The Mayor's Fund to Advance New York leverages municipal resources with public-private partnerships that provide fund raising, program development, and technical assistance exclusively to New York City, allowing the City greater flexibility and creativity in delivering services to all New Yorkers.",https://www1.nyc.gov/site/fund/index.page,2025-11-15T18:09:50.708925,https://www.nyc.gov/content/appointments/pages/boards-commissions
Metropolitan Transportation Authority Board of Directors,The MTA Board oversees the development and improvement of public transportation services in the five boroughs and various New York State counties.,https://new.mta.info/transparency/leadership/board-members,2025-11-15T18:09:50.709000,https://www.nyc.gov/content/appointments/pages/boards-commissions
Moynihan Station Development Corporation,The Moynihan Station Development Corporation was created to finance and manage the redevelopment of the James A. Farley Post Office building into the new Pennsylvania Station.,https://esd.ny.gov/moynihan-station-development-corporation-subsidiary,2025-11-15T18:09:50.709065,https://www.nyc.gov/content/appointments/pages/boards-commissions
MTA Capital Program Review Board,"The MTA Capital Program Review Board is responsible for approving the MTA's capital plan. The Mayor's representative to the Board can veto the plan, giving the City tremendous leverage over the projects included in the program.",,2025-11-15T18:09:50.709121,https://www.nyc.gov/content/appointments/pages/boards-commissions
New York City Employees' Retirement System (NYCERS) Board of Trustees,"The Board of Trustees is the governing body of NYCERS. It establishes the rules and regulations, carries out the provisions of laws, and is responsible for investing money wisely to ensure sufficient pension funds are available to members when they retire.",https://www.nycers.org/board-trustees,2025-11-15T18:09:50.709189,https://www.nyc.gov/content/appointments/pages/boards-commissions
"New York City Global Partners, Inc - Board of Directors",New York City Global Partners is a non-profit that works to create a global platform from which the City of New York can promote successful initiatives in local communities as well as engage the international community in dialogue and partnership to promote innovative solutions to common challenges and expand the City's interaction with global cities.,http://www.nyc.gov/html/unccp/scp/html/about/organization.shtml,2025-11-15T18:09:50.709254,https://www.nyc.gov/content/appointments/pages/boards-commissions
New York City Housing Authority Board (NYCHA),"The NYCHA Board sets the strategic direction, policy and priorities of the NYC Housing Authority's public housing developments and Leased Housing programs for low-income New Yorkers.",https://www1.nyc.gov/site/nycha/index.page,2025-11-15T18:09:50.709319,https://www.nyc.gov/content/appointments/pages/boards-commissions
New York City Panel on Climate Change,The New York City Panel on Climate Change (NPCC) is an independent body that advises the City on climate risks and resiliency.,,2025-11-15T18:09:50.709375,https://www.nyc.gov/content/appointments/pages/boards-commissions
New York Public Library,"The Board of the NYPL steers the library, which has branches in Staten Island, the Bronx, and Manhattan.",https://www.nypl.org/help/about-nypl/leadership/board-trustees,2025-11-15T18:09:50.709557,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC & Co,"NYC & Company is New York City's official marketing, tourism and partnership organization. Its mission is to maximize travel and tourism opportunities throughout the five boroughs, build economic prosperity and spread the dynamic image of New York City around the world.",https://business.nycgo.com/,2025-11-15T18:09:50.709627,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC Economic Development Corporation Board of Directors,"The Economic Development Corporation was established to protect and enhance the City's job and revenue base through the provision of comprehensive economic development services by providing business, economic, and policy advice to the city, managing city property assets, and funding public-private partnerships.",https://business.nycgo.com/,2025-11-15T18:09:50.709721,https://www.nyc.gov/content/appointments/pages/boards-commissions
NYC Land Development Corporation,The Land Development Corporation is a local development corporation.,,2025-11-15T18:09:50.709959,https://www.nyc.gov/content/appointments/pages/boards-commissions
Office of Payroll Adminstration - Board of Directors,"OPA is responsible for coordinating matters of payroll policy and procedure among City oversight and line agencies; ensuring City compliance with applicable Federal, State, and City employment tax regulations; distributing and accounting for the City's payroll; managing the City's payroll bank accounts; and ensuring the integrity, accuracy, and operational effectiveness of payroll systems.",https://www1.nyc.gov/site/opa/index.page,2025-11-15T18:09:50.710148,https://www.nyc.gov/content/appointments/pages/boards-commissions
OneNYC,"OneNYC is a groundbreaking effort to address New York City's long-term challenges: the forecast of 9 million residents by 2040, changing climate conditions, an evolving economy, and aging infrastructure.",,2025-11-15T18:09:50.710390,https://www.nyc.gov/content/appointments/pages/boards-commissions
Panel on Education Policy,"The Panel on Education Policy has the ability to set Citywide educational policy for the New York City public school system. The Panel for Educational Policy is a part of the governance structure responsible for the City School District of the City of New York, subject to the laws of the State of New York and the regulations of the State Department of Education.",https://www.schools.nyc.gov/about-us/leadership/panel-for-education-policy,2025-11-15T18:09:50.710847,https://www.nyc.gov/content/appointments/pages/boards-commissions
Police Department Pension Fund,The Police Department Pension Fund establishes rules and regulations for the administration of the NYPD pension fund.,https://www1.nyc.gov/html/nycppf/html/home/home.shtml,2025-11-15T18:09:50.711798,https://www.nyc.gov/content/appointments/pages/boards-commissions
Procurement Policy Board,"The Procurement Policy Board establishes comprehensive and consistent policies and rules governing the procurement of goods, services and construction by all city agencies, monitors the effectiveness of these rules, and reviews and updates them as necessary.",https://www1.nyc.gov/site/mocs/legal-forms/about-procurement-policy-board-ppb.page,2025-11-15T18:09:50.712339,https://www.nyc.gov/content/appointments/pages/boards-commissions
Prospect Park Alliance - Board of Directors,"The Prospect Park Alliance is a public-private partnership with the City of New York which, through fund raising and advocacy, furthers the restoration and preservation of Prospect Park and the development of the Park as a resource for the people of New York City.",https://www.prospectpark.org/learn-more/who-we-are/board/,2025-11-15T18:09:50.712588,https://www.nyc.gov/content/appointments/pages/boards-commissions
Public Design Commission,"The Public Design Commission reviews and approves art and architecture to be placed on City property, and preserves City-owned works of art such as the portrait collection in City Hall.",https://www1.nyc.gov/site/designcommission/index.page,2025-11-15T18:09:50.713018,https://www.nyc.gov/content/appointments/pages/boards-commissions
Quadrennial Advisory Commission for the Review of Compensation Levels of Elected Officials,"The Quadrennial Advisory Commission for the Review of Compensation Levels of Elected Officials studies the compensation levels for the Mayor, Public Advocate, Comptroller, Borough Presidents, City Council Members and the District Attorneys of the five counties within the City and shall recommend changes in those compensation levels, if warranted. Public Design Commission reviews and approves art and architecture to be placed on City property, and preserves City-owned works of art such as the portrait collection in City Hall.",,2025-11-15T18:09:50.713319,https://www.nyc.gov/content/appointments/pages/boards-commissions
Queens Borough Public Library - Board of Trustees,The Queens Borough Public Library Board of Trustees determines policies and oversees management of the Queens public library system.,https://www.queenslibrary.org/about-us/queens-public-library-overview/leadership/board-of-trustees,2025-11-15T18:09:50.713673,https://www.nyc.gov/content/appointments/pages/boards-commissions
"Randall's Island Park Alliance, Inc.",The Randall's Island Park Alliance has an operating agreement with the NYC Department of Parks and Recreation for the development and improvement of Randall's Island.,https://randallsisland.org/,2025-11-15T18:09:50.714034,https://www.nyc.gov/content/appointments/pages/boards-commissions
Rent Guidelines Board,The Rent Guidelines Board sets rent adjustment levels for apartments subject to the Rent Stabilization Law.,https://rentguidelinesboard.cityofnewyork.us/,2025-11-15T18:09:50.714189,https://www.nyc.gov/content/appointments/pages/boards-commissions
Roosevelt Island Operating Corporation - Board of Directors,"The Roosevelt Island Operating Corporation is a public benefit corporation that operates, manages and develops Roosevelt Island.",https://rioc.ny.gov/149/Board-of-Directors,2025-11-15T18:09:50.714469,https://www.nyc.gov/content/appointments/pages/boards-commissions
School Construction Authority - Board of Trustees,"The School Construction Authority is responsible for the design, construction, modernization and rehabilitation of public schools in New York City.",http://www.nycsca.org/Quick-Links-Home/About-the-SCA/SCA-Board-of-Trustees,2025-11-15T18:09:50.714551,https://www.nyc.gov/content/appointments/pages/boards-commissions
Senior Advisory Council,The Department for the Againg Advisory Council makes recommendations to and advises the Commissioner of the Department.,https://www1.nyc.gov/site/dfta/about/advisory-council.page,2025-11-15T18:09:50.714614,https://www.nyc.gov/content/appointments/pages/boards-commissions
Soil & Water Conservation District Board - Board of Directors,"The Soil and Water Conservation District is part of a nationwide system of 3,000 districts. It assists New Yorkers and local decision-makers in making wise use of the City's soil, water and related resources.",https://www.soilandwater.nyc/,2025-11-15T18:09:50.714678,https://www.nyc.gov/content/appointments/pages/boards-commissions
State Fire Prevention and Building Code Council,"The State Fire Prevention and Building Code Council is empowered to maintain and periodically update the Uniform Fire Prevention and Building Code and State Energy Conservation Construction Code, and to adopt higher or more restrictive local standards upon the recommendation of local governments.",https://dos.ny.gov/state-fire-prevention-and-building-code-council,2025-11-15T18:09:50.714746,https://www.nyc.gov/content/appointments/pages/boards-commissions
SWMP Converted Marine Transfer Station Community Advisory Group - Gansevoort (Manhattan),"The Community Advisory Group advises the Mayor and other elected officials on the development, construction and operation of the Gansevoort Marine Transfer Station.",,2025-11-15T18:09:50.714802,https://www.nyc.gov/content/appointments/pages/boards-commissions
