RecordID,Column,GoldenValue,SourceValue
NYC_GOID_000081,Name,PS 1 Contemporary Art Center,CIG - PS 1 Contemporary Art Center
NYC_GOID_000082,Name,Public Theater,CIG - Public Theater
NYC_GOID_000083,Name,Queens Botanical Garden,CIG - Queens Botanical Garden
NYC_GOID_000084,Name,Queens Museum,CIG - Queens Museum of Art
NYC_GOID_000085,Name,Queens Theatre in the Park,CIG - Queens Theatre in the Park
NYC_GOID_000086,Name,Snug Harbor Cultural Center & Botanical Garden,CIG - Snug Harbor Cultural Center & Botanical Garden (SHCC)
NYC_GOID_000088,Name,Staten Island Historical Society,CIG - Staten Island Historical Society
NYC_GOID_000089,Name,Staten Island Museum,CIG - Staten Island Museum (also known as SIIAS)
NYC_GOID_000090,Name,Staten Island Zoological Society,CIG - Staten Island Zoological Society
NYC_GOID_000091,Name,Studio Museum in Harlem,CIG - Studio Museum in Harlem
NYC_GOID_000092,Name,Wave Hill,CIG - Wave Hill
NYC_GOID_000093,Name,Weeksville Heritage Center,CIG - Weeksville Heritage Center
NYC_GOID_000094,Name,Wildlife Conservation Society,CIG - Wildlife Conservation Society
NYC_GOID_000095,Name,Citizens' Advisory Committee,Citizens' Advisory Committee (DCLA)
NYC_GOID_000099,Name,City University of New York,CUNY - Board of Trustees
NYC_GOID_000101,Name,Graduate Education Task Force,CUNY Task Force
NYC_GOID_000116,Name,Community Action Board at the NYC Department of Youth and Community Development,Community Action Board – Dept. of Youth and Community Development
NYC_GOID_000117,Name,Mayor's Community Affairs Unit,Community Affairs Unit
NYC_GOID_000119,Name,Community Services Board,Community Services Board (formerly known as Mental Hygiene Advisory Board)
NYC_GOID_000128,Name,Chief Counsel to the Mayor and City Hall,Counsel to the Mayor
NYC_GOID_000142,Name,Department of Design and Construction,Department of Design & Construction
NYC_GOID_000149,Name,Department of Parks and Recreation,Department of Parks & Recreation
NYC_GOID_000151,Name,Department of Records and Information Service,Department of Records & Information Service
NYC_GOID_000155,Name,Department of Homeless Services,Department of Social Services - Department of Homeless Services
NYC_GOID_000156,Name,Human Resources Administration,Department of Social Services - Human Resources Administration
NYC_GOID_000158,Name,Department of Veterans' Services,Department of Veteran's Services
NYC_GOID_000159,Name,Department of Youth and Community Development,Department of Youth & Community Development
NYC_GOID_000161,Name,Deputy Mayor for Health and Human Services,Deputy Mayor of Health & Human Services
NYC_GOID_000162,Name,Deputy Mayor of Housing Economic and Workforce Development,Deputy Mayor of Housing Economic & Workforce Development
NYC_GOID_000163,Name,Deputy Mayor for Operations,Deputy Mayor of Operations
NYC_GOID_000164,Name,Deputy Mayor for Public Safety,Deputy Mayor of Public Safety
NYC_GOID_000165,Name,Deputy Mayor for Strategic Initiatives,Deputy Mayor of Strategic Initiatives
NYC_GOID_000166,Name,Deputy Mayor for Communications,Director of Communications
NYC_GOID_000168,Name,Bronx County District Attorney's Office,District Attorney - Bronx County
NYC_GOID_000169,Name,Brooklyn District Attorney's Office,District Attorney - Kings County (Brooklyn)
NYC_GOID_000170,Name,Manhattan District Attorney's Office,District Attorney - New York County (Manhattan)
NYC_GOID_000171,Name,Queens District Attorney's Office,District Attorney - Queens County
NYC_GOID_000172,Name,Office of the District Attorney Richmond County,District Attorney - Richmond County (Staten Island)
NYC_GOID_000208,Name,GrowNYC,GrowNYC (previously Council on the Environment)
NYC_GOID_000216,Name,Housing Preservation and Development,Housing Preservation & Development
NYC_GOID_000217,Name,Mayor's Office of Housing Recovery Operations,Housing Recovery Office
NYC_GOID_000226,Name,Office of Intergovernmental Affairs,Intergovernmental Affairs
NYC_GOID_000237,Name,Latin Media and Entertainment Commission,Latin Media & Entertainment Commission
NYC_GOID_000240,Name,New York City Loft Board,Loft Board
NYC_GOID_000246,Name,Deputy Mayor for Administration and Chief of Staff,Mayor's Chief of Staff
NYC_GOID_000248,Name,Mayor's Fund to Advance New York City,Mayor's Fund to Advance NYC
NYC_GOID_000256,Name,Mayor's Office of Media and Research Analysis,Mayor's Office -- Media and Research Analysis
NYC_GOID_000261,Name,Mayor's Office of Citywide Events Coordination and Management,Mayor's Office of Citywide Events Coordination & Management
NYC_GOID_000267,Name,Mayor's Office of Equity and Racial Justice,Mayor's Office of Equity & Racial Justice
NYC_GOID_000287,Name,Mayor's Office of Risk Management and Compliance,Mayor's Office Risk Management & Compliance
NYC_GOID_000291,Name,Mayor's Office of Speechwriting,Mayor's Office -- Speechwriting
NYC_GOID_000298,Name,Mayor's Office of the Utility Consumer Advocate,MO of Utility Advocate
NYC_GOID_000306,Name,Mayor's Office of Municipal Services Assessment,Municipal Services Assessment unit
NYC_GOID_000310,Name,New York City Tourism + Conventions,NYC & Company
NYC_GOID_000316,Name,New York City Employee Retirement System,NYC Employee Retirement System
NYC_GOID_000319,Name,New York City Housing Authority,NYC Housing Authority
NYC_GOID_000331,Name,New York City Transitional Finance Authority,NYC Transitional Finance Authority
NYC_GOID_000351,Name,Mayor's Office for Childcare and Early Childhood Education,Office of Childcare and Early Childhood Education
NYC_GOID_000356,Name,Mayor's Office of Community Mental Health,Office of Community Mental Health
NYC_GOID_000361,Name,Mayor's Office of Innovation and Emerging Markets,Office of Emerging Markets
NYC_GOID_000362,Name,Mayor's Office of Engagement,Office of Engagement
NYC_GOID_000363,Name,Mayor's Office of Environmental Coordination,Office of Environmental Coordination
NYC_GOID_000364,Name,Mayor's Office of Environmental Remediation,Office of Environmental Remediation
NYC_GOID_000369,Name,Office of Innovation and Delivery,Office of Innovation & Delivery
NYC_GOID_000374,Name,Mayor's Office of Management and Budget,Office of Management and Budget
NYC_GOID_000385,Name,Mayor's Office for Prevention of Hate Crimes,Office for Prevention of Hate Crimes
NYC_GOID_000390,Name,New York City Police Pension Fund,Police Pension Fund
NYC_GOID_000395,Name,Bronx County Public Administrator,Public Administrator - Bronx County
NYC_GOID_000399,Name,Office of the Public Realm,Public Realm
NYC_GOID_000401,Name,Public Administrator of Queens County,Queens County Public Administrator
NYC_GOID_000425,Name,Special Commissioner of Investigation for the New York City School District,Special Commissioner of Investigation for the NYC School District
NYC_GOID_000426,Name,"Sports, Wellness, and Recreation Advisory Board","Sports, Wellness, & Recreation Advisory Board"
NYC_GOID_000430,Name,Sustainability Advisory Board,Sustainability Advisory Board (Formerly OneNYC)
NYC_GOID_000436,Name,Taxi and Limousine Commission,Taxi & Limousine Commission
NYC_GOID_000439,Name,Temporary Commercial Incentive Area Boundary Commission,Temporary Commercial Incentive Area Boundary Commission (ICAP)
NYC_GOID_000446,Name,Traffic Mobility Review Board,Traffic Mobility Review Board (aka Congestion Pricing)
NYC_GOID_000464,Name,National September 11 Memorial and Museum,World Trade Center Captive Insurance Company
NYC_GOID_000465,Name,Perelman Performing Arts Center,World Trade Center Memorial Foundation
NYC_GOID_000000,PrincipalOfficerGivenName,Joseph,
NYC_GOID_000003,PrincipalOfficerGivenName,Sideya,
NYC_GOID_000004,PrincipalOfficerGivenName,Marc,
NYC_GOID_000012,PrincipalOfficerGivenName,Risa,
NYC_GOID_000017,PrincipalOfficerGivenName,Tobi,
NYC_GOID_000021,PrincipalOfficerGivenName,Jasmine,
NYC_GOID_000023,PrincipalOfficerGivenName,Simon,
NYC_GOID_000024,PrincipalOfficerGivenName,Michelle,
NYC_GOID_000025,PrincipalOfficerGivenName,Shampa,
NYC_GOID_000026,PrincipalOfficerGivenName,Vanessa,
NYC_GOID_000027,PrincipalOfficerGivenName,Antonio,
NYC_GOID_000028,PrincipalOfficerGivenName,Mark,
NYC_GOID_000029,PrincipalOfficerGivenName,Donovan,
NYC_GOID_000030,PrincipalOfficerGivenName,Vito,
NYC_GOID_000034,PrincipalOfficerGivenName,Eric,
NYC_GOID_000042,PrincipalOfficerGivenName,Frederick,
NYC_GOID_000043,PrincipalOfficerGivenName,Tremaine,
NYC_GOID_000048,PrincipalOfficerGivenName,Elizabeth,
NYC_GOID_000050,PrincipalOfficerGivenName,Richard,
NYC_GOID_000059,PrincipalOfficerGivenName,Sean,
NYC_GOID_000065,PrincipalOfficerGivenName,Anne,
NYC_GOID_000066,PrincipalOfficerGivenName,Clive,
NYC_GOID_000069,PrincipalOfficerGivenName,Ellen,
NYC_GOID_000070,PrincipalOfficerGivenName,Wynton,
NYC_GOID_000071,PrincipalOfficerGivenName,Lear,
NYC_GOID_000072,PrincipalOfficerGivenName,Max,
NYC_GOID_000075,PrincipalOfficerGivenName,Glenn,
NYC_GOID_000077,PrincipalOfficerGivenName,Jennifer,
NYC_GOID_000078,PrincipalOfficerGivenName,Jonathan,
NYC_GOID_000082,PrincipalOfficerGivenName,Oskar,
NYC_GOID_000091,PrincipalOfficerGivenName,Thelma,
NYC_GOID_000094,PrincipalOfficerGivenName,Adam,
NYC_GOID_000097,PrincipalOfficerGivenName,Adrienne,
NYC_GOID_000098,PrincipalOfficerGivenName,Dan,
NYC_GOID_000099,PrincipalOfficerGivenName,Felix,
NYC_GOID_000103,PrincipalOfficerGivenName,Nancy,
NYC_GOID_000109,PrincipalOfficerGivenName,Kathy,
NYC_GOID_000111,PrincipalOfficerGivenName,Jacqueline,
NYC_GOID_000112,PrincipalOfficerGivenName,Jumaane,
NYC_GOID_000123,PrincipalOfficerGivenName,Brad,
NYC_GOID_000124,PrincipalOfficerGivenName,Carolyn,
NYC_GOID_000134,PrincipalOfficerGivenName,Laura,
NYC_GOID_000139,PrincipalOfficerGivenName,Vilda,Vilda Vera
NYC_GOID_000152,PrincipalOfficerGivenName,Javier,
NYC_GOID_000161,PrincipalOfficerGivenName,Suzanne,Anne
NYC_GOID_000162,PrincipalOfficerGivenName,Adolfo,
NYC_GOID_000163,PrincipalOfficerGivenName,Jeffrey,Meera
NYC_GOID_000164,PrincipalOfficerGivenName,Kaz,Chauncey
NYC_GOID_000168,PrincipalOfficerGivenName,Darcel,
NYC_GOID_000169,PrincipalOfficerGivenName,Eric,
NYC_GOID_000170,PrincipalOfficerGivenName,Alvin,
NYC_GOID_000171,PrincipalOfficerGivenName,Melinda,
NYC_GOID_000172,PrincipalOfficerGivenName,Michael,
NYC_GOID_000185,PrincipalOfficerGivenName,Jeanne,
NYC_GOID_000193,PrincipalOfficerGivenName,Randy,Maria
NYC_GOID_000194,PrincipalOfficerGivenName,Anthony,
NYC_GOID_000196,PrincipalOfficerGivenName,Michael,
NYC_GOID_000202,PrincipalOfficerGivenName,Melissa,
NYC_GOID_000208,PrincipalOfficerGivenName,Steven,
NYC_GOID_000216,PrincipalOfficerGivenName,Ahmed,Adolfo
NYC_GOID_000218,PrincipalOfficerGivenName,Noreen,
NYC_GOID_000220,PrincipalOfficerGivenName,David,
NYC_GOID_000220,PrincipalOfficerGivenName,David,
NYC_GOID_000222,PrincipalOfficerGivenName,Louisa,
NYC_GOID_000224,PrincipalOfficerGivenName,Andrew,
NYC_GOID_000230,PrincipalOfficerGivenName,Terri,
NYC_GOID_000234,PrincipalOfficerGivenName,Kerry,
NYC_GOID_000235,PrincipalOfficerGivenName,Jeanny,
NYC_GOID_000236,PrincipalOfficerGivenName,Sarah,Lisa
NYC_GOID_000240,PrincipalOfficerGivenName,Martha,
NYC_GOID_000245,PrincipalOfficerGivenName,Ayanna,
NYC_GOID_000247,PrincipalOfficerGivenName,Charles,
NYC_GOID_000248,PrincipalOfficerGivenName,Kate,
NYC_GOID_000249,PrincipalOfficerGivenName,Najma,
NYC_GOID_000251,PrincipalOfficerGivenName,Eric,Gladys
NYC_GOID_000257,PrincipalOfficerGivenName,Michael,
NYC_GOID_000259,PrincipalOfficerGivenName,Alexandra,
NYC_GOID_000264,PrincipalOfficerGivenName,Lisa,Kim
NYC_GOID_000275,PrincipalOfficerGivenName,Bryan,
NYC_GOID_000276,PrincipalOfficerGivenName,Sherif,Marc
NYC_GOID_000277,PrincipalOfficerGivenName,Christian,
NYC_GOID_000280,PrincipalOfficerGivenName,Darren,
NYC_GOID_000286,PrincipalOfficerGivenName,Marjorie,
NYC_GOID_000291,PrincipalOfficerGivenName,Marjorie,
NYC_GOID_000292,PrincipalOfficerGivenName,Kayla,
NYC_GOID_000308,PrincipalOfficerGivenName,David,
NYC_GOID_000310,PrincipalOfficerGivenName,Julie,Nancy
NYC_GOID_000316,PrincipalOfficerGivenName,Melanie,
NYC_GOID_000320,PrincipalOfficerGivenName,Jamie,
NYC_GOID_000325,PrincipalOfficerGivenName,Vlada,
NYC_GOID_000331,PrincipalOfficerGivenName,David,
NYC_GOID_000334,PrincipalOfficerGivenName,Dahlia,
NYC_GOID_000335,PrincipalOfficerGivenName,Anthony,
NYC_GOID_000341,PrincipalOfficerGivenName,Kevin,
NYC_GOID_000343,PrincipalOfficerGivenName,Marek,
NYC_GOID_000344,PrincipalOfficerGivenName,Deborah,
NYC_GOID_000345,PrincipalOfficerGivenName,Neil,
NYC_GOID_000351,PrincipalOfficerGivenName,Amber,
NYC_GOID_000356,PrincipalOfficerGivenName,Michael,Eva
NYC_GOID_000377,PrincipalOfficerGivenName,Neil,
NYC_GOID_000385,PrincipalOfficerGivenName,Vijah,
NYC_GOID_000387,PrincipalOfficerGivenName,Melissa,
NYC_GOID_000390,PrincipalOfficerGivenName,Kevin,
NYC_GOID_000392,PrincipalOfficerGivenName,Guillermo,
NYC_GOID_000395,PrincipalOfficerGivenName,Matilde,
NYC_GOID_000396,PrincipalOfficerGivenName,Jumaane,
NYC_GOID_000399,PrincipalOfficerGivenName,Ya-Ting,
NYC_GOID_000401,PrincipalOfficerGivenName,Lois,
NYC_GOID_000408,PrincipalOfficerGivenName,Andrew,
NYC_GOID_000412,PrincipalOfficerGivenName,Edwina,
NYC_GOID_000414,PrincipalOfficerGivenName,Shelton,
NYC_GOID_000415,PrincipalOfficerGivenName,David,
NYC_GOID_000425,PrincipalOfficerGivenName,Anastasia,
NYC_GOID_000437,PrincipalOfficerGivenName,Patricia,
NYC_GOID_000449,PrincipalOfficerGivenName,Clare,
NYC_GOID_000459,PrincipalOfficerGivenName,Alfonso,
NYC_GOID_000460,PrincipalOfficerGivenName,Michael,
NYC_GOID_000461,PrincipalOfficerGivenName,Chris,
NYC_GOID_000462,PrincipalOfficerGivenName,Rob,
NYC_GOID_000464,PrincipalOfficerGivenName,Elizabeth,
NYC_GOID_000465,PrincipalOfficerGivenName,Khady,
NYC_GOID_000468,PrincipalOfficerGivenName,Nathifa,
NYC_GOID_000000,PrincipalOfficerFamilyName,Morrisroe,
NYC_GOID_000003,PrincipalOfficerFamilyName,Sherman,
NYC_GOID_000004,PrincipalOfficerFamilyName,Shaw,
NYC_GOID_000012,PrincipalOfficerFamilyName,Weinstock,
NYC_GOID_000017,PrincipalOfficerFamilyName,Jaiyesimi,
NYC_GOID_000021,PrincipalOfficerFamilyName,Georges-Yilla,
NYC_GOID_000023,PrincipalOfficerFamilyName,Shamoun,
NYC_GOID_000024,PrincipalOfficerFamilyName,Morse,
NYC_GOID_000025,PrincipalOfficerFamilyName,Chanda,
NYC_GOID_000026,PrincipalOfficerFamilyName,Gibson,
NYC_GOID_000027,PrincipalOfficerFamilyName,Reynoso,
NYC_GOID_000028,PrincipalOfficerFamilyName,Levine,
NYC_GOID_000029,PrincipalOfficerFamilyName,Richards,
NYC_GOID_000030,PrincipalOfficerFamilyName,Fossella,
NYC_GOID_000034,PrincipalOfficerFamilyName,Landau,
NYC_GOID_000042,PrincipalOfficerFamilyName,Schaffer,
NYC_GOID_000043,PrincipalOfficerFamilyName,Wright,
NYC_GOID_000048,PrincipalOfficerFamilyName,Smith,
NYC_GOID_000050,PrincipalOfficerFamilyName,Buery,
NYC_GOID_000059,PrincipalOfficerFamilyName,Decatur,
NYC_GOID_000065,PrincipalOfficerFamilyName,Pasternak,
NYC_GOID_000066,PrincipalOfficerFamilyName,Gillinson,
NYC_GOID_000069,PrincipalOfficerFamilyName,Keane,
NYC_GOID_000070,PrincipalOfficerFamilyName,Marsalis,
NYC_GOID_000071,PrincipalOfficerFamilyName,deBessonet,
NYC_GOID_000072,PrincipalOfficerFamilyName,Hollein,
NYC_GOID_000075,PrincipalOfficerFamilyName,Lowry,
NYC_GOID_000077,PrincipalOfficerFamilyName,Bernstein,
NYC_GOID_000078,PrincipalOfficerFamilyName,Stafford,
NYC_GOID_000082,PrincipalOfficerFamilyName,Eustis,
NYC_GOID_000091,PrincipalOfficerFamilyName,Golden,
NYC_GOID_000094,PrincipalOfficerFamilyName,Falk,
NYC_GOID_000097,PrincipalOfficerFamilyName,Adams,
NYC_GOID_000098,PrincipalOfficerFamilyName,Garodnick,
NYC_GOID_000099,PrincipalOfficerFamilyName,Rodriguez,
NYC_GOID_000103,PrincipalOfficerFamilyName,Chaffetz,
NYC_GOID_000109,PrincipalOfficerFamilyName,Chin,
NYC_GOID_000111,PrincipalOfficerFamilyName,Ebanks,
NYC_GOID_000112,PrincipalOfficerFamilyName,Williams,
NYC_GOID_000123,PrincipalOfficerFamilyName,Lander,
NYC_GOID_000124,PrincipalOfficerFamilyName,Miller,
NYC_GOID_000134,PrincipalOfficerFamilyName,Wood,
NYC_GOID_000135,PrincipalOfficerFamilyName,Cortés-Vázquez,Cortes-Vazquez
NYC_GOID_000143,PrincipalOfficerFamilyName,Ramos,Aviles Ramos
NYC_GOID_000152,PrincipalOfficerFamilyName,Lojan,
NYC_GOID_000161,PrincipalOfficerFamilyName,Miles-Gustave,Williams-Isom
NYC_GOID_000162,PrincipalOfficerFamilyName,Carrión,
NYC_GOID_000163,PrincipalOfficerFamilyName,Roth,Joshi
NYC_GOID_000164,PrincipalOfficerFamilyName,Daughtry,Parker
NYC_GOID_000168,PrincipalOfficerFamilyName,Clark,
NYC_GOID_000169,PrincipalOfficerFamilyName,Gonzalez,
NYC_GOID_000170,PrincipalOfficerFamilyName,Bragg,
NYC_GOID_000171,PrincipalOfficerFamilyName,Katz,
NYC_GOID_000172,PrincipalOfficerFamilyName,McMahon,
NYC_GOID_000185,PrincipalOfficerFamilyName,Victor,
NYC_GOID_000193,PrincipalOfficerFamilyName,Mastro,Torres-Springer
NYC_GOID_000194,PrincipalOfficerFamilyName,Sama,
NYC_GOID_000196,PrincipalOfficerFamilyName,Palermo,
NYC_GOID_000202,PrincipalOfficerFamilyName,Gonzalez,
NYC_GOID_000208,PrincipalOfficerFamilyName,Cain,
NYC_GOID_000216,PrincipalOfficerFamilyName,Tigani,Carrion Jr.
NYC_GOID_000218,PrincipalOfficerFamilyName,Doyle,
NYC_GOID_000220,PrincipalOfficerFamilyName,Womack,
NYC_GOID_000220,PrincipalOfficerFamilyName,Womack,
NYC_GOID_000222,PrincipalOfficerFamilyName,Chafee,
NYC_GOID_000224,PrincipalOfficerFamilyName,Kimball,
NYC_GOID_000230,PrincipalOfficerFamilyName,Carta,
NYC_GOID_000234,PrincipalOfficerFamilyName,Archer,
NYC_GOID_000235,PrincipalOfficerFamilyName,Pak,
NYC_GOID_000236,PrincipalOfficerFamilyName,Carroll,Kersavage
NYC_GOID_000240,PrincipalOfficerFamilyName,Cruz,
NYC_GOID_000244,PrincipalOfficerFamilyName,Bucknam,Bucknam III
NYC_GOID_000245,PrincipalOfficerFamilyName,Sorett,
NYC_GOID_000247,PrincipalOfficerFamilyName,Destefano,
NYC_GOID_000248,PrincipalOfficerFamilyName,Smith,
NYC_GOID_000249,PrincipalOfficerFamilyName,Chermin,
NYC_GOID_000251,PrincipalOfficerFamilyName,Adams,Miranda
NYC_GOID_000257,PrincipalOfficerFamilyName,Sedillo,
NYC_GOID_000259,PrincipalOfficerFamilyName,Silver,
NYC_GOID_000264,PrincipalOfficerFamilyName,Flores,Yu
NYC_GOID_000275,PrincipalOfficerFamilyName,Berge,
NYC_GOID_000276,PrincipalOfficerFamilyName,Soliman,Heinrich
NYC_GOID_000277,PrincipalOfficerFamilyName,Klossner,
NYC_GOID_000280,PrincipalOfficerFamilyName,Bloch,
NYC_GOID_000286,PrincipalOfficerFamilyName,Velázquez,
NYC_GOID_000291,PrincipalOfficerFamilyName,Sweeney,
NYC_GOID_000292,PrincipalOfficerFamilyName,Altus,
NYC_GOID_000308,PrincipalOfficerFamilyName,Womack,
NYC_GOID_000310,PrincipalOfficerFamilyName,Coker,Mammana
NYC_GOID_000316,PrincipalOfficerFamilyName,Whinnery,
NYC_GOID_000320,PrincipalOfficerFamilyName,Rubin,
NYC_GOID_000325,PrincipalOfficerFamilyName,Kenniff,
NYC_GOID_000331,PrincipalOfficerFamilyName,Womack,
NYC_GOID_000334,PrincipalOfficerFamilyName,Damas,
NYC_GOID_000335,PrincipalOfficerFamilyName,Marx,
NYC_GOID_000341,PrincipalOfficerFamilyName,Holloran,
NYC_GOID_000343,PrincipalOfficerFamilyName,Tyszkiewicz,
NYC_GOID_000344,PrincipalOfficerFamilyName,Maher,
NYC_GOID_000345,PrincipalOfficerFamilyName,Schaier,
NYC_GOID_000351,PrincipalOfficerFamilyName,Cartwright,
NYC_GOID_000356,PrincipalOfficerFamilyName,Appleton,Wong
NYC_GOID_000377,PrincipalOfficerFamilyName,Matthew,
NYC_GOID_000385,PrincipalOfficerFamilyName,Ramjattan,
NYC_GOID_000387,PrincipalOfficerFamilyName,Aviles-Ramos,
NYC_GOID_000390,PrincipalOfficerFamilyName,Holloran,
NYC_GOID_000392,PrincipalOfficerFamilyName,Chacon,
NYC_GOID_000395,PrincipalOfficerFamilyName,Sanchez,
NYC_GOID_000396,PrincipalOfficerFamilyName,Williams,
NYC_GOID_000399,PrincipalOfficerFamilyName,Liu,
NYC_GOID_000401,PrincipalOfficerFamilyName,Rosenblatt,
NYC_GOID_000408,PrincipalOfficerFamilyName,McLaughlin,
NYC_GOID_000412,PrincipalOfficerFamilyName,Martin,
NYC_GOID_000414,PrincipalOfficerFamilyName,Haynes,
NYC_GOID_000415,PrincipalOfficerFamilyName,Womack,
NYC_GOID_000425,PrincipalOfficerFamilyName,Coleman,
NYC_GOID_000437,PrincipalOfficerFamilyName,Reilly,
NYC_GOID_000449,PrincipalOfficerFamilyName,Newman,
NYC_GOID_000459,PrincipalOfficerFamilyName,Carney,
NYC_GOID_000460,PrincipalOfficerFamilyName,Marrella,
NYC_GOID_000461,PrincipalOfficerFamilyName,Neale,
NYC_GOID_000462,PrincipalOfficerFamilyName,Speyer,
NYC_GOID_000464,PrincipalOfficerFamilyName,Hillman,
NYC_GOID_000465,PrincipalOfficerFamilyName,Nunez,
NYC_GOID_000468,PrincipalOfficerFamilyName,Forde,
NYC_GOID_000002,Description,"The Administration for Children's Services (ACS) protects and ensures the well-being of New York City's children and families. ACS investigated child abuse and neglect reports involving approximately 79,000 children and provided contract preventive services to a daily average of 27,000 children. ACS provides direct foster care and adoption services, as well as contractual services for approximately 17,000 children through 44 foster care agencies Citywide. The Agency also administers 263 Head Start sites and enrolls 57,000 children in child care programs through contracted providers or child care vouchers.",
NYC_GOID_000003,Description,,"The Advisory Board on Implementation of Racial Justice Charter Amendments will provide guidance on the structure and strategy of the newly mandated Racial Equity Office and Racial Equity Plans, Commission on Racial Equity, and NYC True Cost of Living Measure."
NYC_GOID_000004,Description,"This site is up for historical purposes only. The New York City Advisory Commission on Property Tax Reform worked to evaluate all aspects of the current property tax system in New York City and recommend reforms to make it fairer, simpler, and more transparent, while ensuring that there is no reduction in revenue used to fund City services.",
NYC_GOID_000005,Description,,"The committee makes recommendations to engage communities and agencies in decreasing, with the goal of eventually eliminating, the practice of female genital mutilation and cutting in the city, as well as identifies supportive community-based and culturally-responsive resources for people who have undergone female genital mutilation and cutting."
NYC_GOID_000006,Description,,"The advisory council, composed of public and private sector partners, will help advise city agencies on workforce
development strategies, identify supportive partners, and elevate best practices to create an accessibility
framework and resource toolbox for employers."
NYC_GOID_000008,Description,,"Reviews, report, and makes recommendations annually on the functioning of the Housing Part. In addition, members conduct initial prescreening interviews, applicant evaluations, and annual compilation of qualified applicant lists for the Chief Administrative Law Judge to appoint new Judges to the court from"
NYC_GOID_000009,Description,,"Provides advice to the New York State Lobby Commission on the implementation of the procurement lobbying provisions of the lobby law, and is also charged with issuing model guidelines as to the types of contracts that would be permissible during the restricted contact period."
NYC_GOID_000010,Description,,"The Age-friendly Commission is a public-private partnership that works closely with City government, business, and the non-profit sector to (1) optimize the health and social and economic participation of all New Yorkers, (2) address the challenges and leverage opportunities posed by a rapidly increasing population of older New Yorkers, (3) identify existing policies and programs to benefit older adults, (4) adopt similar “age-in-everything” approaches to planning and work in the nonprofit and private sector, (5) better understand how City agencies can apply an aging lens to all of their planning, meeting the needs of older populations, (6) catalyze change across public funding silos to demonstrate the potential for integrated strategies, and (7) monitor public and private sector progress in implementing initiatives"
NYC_GOID_000011,Description,,"The Algorithms Advisory Committee advises the Steering Committee and Algorithms Management and Policy Officer on the protocols and best practices related to City use of algorithmic tools and systems in agency decision-making. They explore and discuss issues relevant to the development, use, and best practices on algorithmic tools and systems; they serve as a
mechanism for collective and communicating concerns and expertise from individuals and groups outside the city to the
officer."
NYC_GOID_000012,Description,,"A not-for-profit organization that rescues, cares for, and finds homes for homeless and abandoned animals in New York City."
NYC_GOID_000014,Description,,"The Archives, Reference and Research Advisory Board shall consist of fifteen members who shall be appointed by the Mayor and which shall advise the Commissioner of the Department of Records and Information Services in matters at his or her request and render annually to the mayor a report regarding the development of municipal archives, reference and research services in the government and administration of the city."
NYC_GOID_000016,Description,,The Atlantic Yards Community Development Corporation was developed by the Empire State Development Corporation to improve oversight and monitoring of the Atlantic Yards Project.
